gen,gen,min,avg,max,std
0,0,9.0,47.466666666666654,276.6666666666667,77.62891786498695
1,1,9.333333333333334,117.23333333333335,242.66666666666666,91.95120082594535
2,2,52.333333333333336,168.7,242.66666666666666,72.50232946449222
3,3,103.33333333333333,214.0,242.66666666666666,46.95695428321087
4,4,169.0,231.33333333333331,276.6666666666667,32.74921542741309
5,5,169.0,238.69999999999996,276.6666666666667,25.34843847919105
6,6,242.66666666666666,252.86666666666665,276.6666666666667,15.580757362849868
7,7,242.66666666666666,263.06666666666666,276.6666666666667,16.656530250925623
8,8,62.0,251.8,276.6666666666667,64.07360350929756
9,9,276.6666666666667,276.66666666666663,276.6666666666667,5.684341886080802e-14
10,10,276.6666666666667,276.66666666666663,276.6666666666667,5.684341886080802e-14
11,11,9.333333333333334,236.4333333333333,276.6666666666667,85.73499868781711
12,12,276.6666666666667,276.66666666666663,276.6666666666667,5.684341886080802e-14
13,13,46.333333333333336,233.36666666666665,276.6666666666667,86.82069005843148
14,14,74.0,266.2333333333333,375.0,70.46607536806474
15,15,74.0,266.23333333333335,375.0,70.46607536806472
