gen,gen,min,avg,max,std
0,0,8.666666666666666,22.0,62.666666666666664,21.034363419044666
1,1,9.0,123.9,277.0,65.07671541257201
2,2,61.0,124.0,138.0,24.658106622817215
3,3,69.0,120.1,138.0,23.97361976098821
4,4,69.0,124.63333333333335,138.0,22.60454723181943
5,5,132.33333333333334,142.33333333333331,155.66666666666666,8.880690663831647
6,6,138.0,197.6,389.0,96.48716667688679
7,7,138.0,246.0333333333333,389.0,117.30183762887567
8,8,55.0,237.7333333333333,389.0,127.17344237082067
9,9,10.333333333333334,260.7,389.0,135.80316229340497
10,10,63.0,291.06666666666666,389.0,123.69764212250234
11,11,179.0,390.2,500.0,82.9021109502044
12,12,389.0,422.3,500.0,50.86659021400982
13,13,209.33333333333334,404.33333333333337,500.0,81.7875296117935
14,14,209.33333333333334,426.5333333333334,500.0,89.32950240542036
15,15,389.0,477.8,500.0,44.4
