gen,gen,min,avg,max,std
0,0,9.0,66.38333333333334,369.3333333333333,94.10905464760906
1,1,9.666666666666666,203.41666666666669,500.0,176.9282929136359
2,2,20.333333333333332,293.28333333333336,500.0,188.38504526043934
3,3,39.0,408.76666666666665,500.0,147.27148400148616
4,4,10.0,407.9666666666667,500.0,184.6527943044579
5,5,21.333333333333332,390.8166666666666,500.0,176.99354900359756
6,6,9.333333333333334,401.21666666666664,500.0,183.88354633058148
7,7,9.333333333333334,350.3,500.0,210.1028822056259
8,8,11.666666666666666,391.15,500.0,180.77587335949698
9,9,10.0,330.65,500.0,188.08152709219834
10,10,9.0,324.8833333333333,500.0,212.50388950688773
11,11,9.666666666666666,383.23333333333335,500.0,203.02342776690136
12,12,21.0,432.5333333333334,500.0,161.26229152119433
13,13,9.666666666666666,340.68333333333334,500.0,218.67536758603813
14,14,9.666666666666666,379.1166666666667,500.0,188.29469441395435
15,15,9.333333333333334,354.6166666666667,500.0,202.41808425467656
