gen,gen,min,avg,max,std
0,0,9.0,54.55,500.0,105.87651481272363
1,1,9.666666666666666,77.43333333333334,500.0,101.98480823686984
2,2,10.0,100.51666666666668,500.0,137.02013132707503
3,3,9.666666666666666,121.94999999999997,500.0,161.66671048109373
4,4,39.0,243.23333333333335,500.0,191.58523197551298
5,5,10.666666666666666,213.9,500.0,177.1191093272798
6,6,32.0,184.38333333333333,500.0,162.66783725671704
7,7,32.0,206.4,500.0,174.63872550051562
8,8,60.333333333333336,286.55000000000007,500.0,188.31375340697295
9,9,42.0,392.9833333333333,500.0,165.5981909120185
10,10,10.0,412.4333333333333,500.0,176.04687191515532
11,11,10.0,409.91666666666663,500.0,180.00190971209167
12,12,56.0,455.6,500.0,133.2
13,13,50.333333333333336,455.3166666666667,500.0,134.05299428874306
14,14,500.0,500.0,500.0,0.0
15,15,69.0,478.45,500.0,93.93427223330151
