gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-719.2861831341817,0.009961373704783779,-454.73580419431124,0.21907107665090914,-106.25272154742633,0.8679604633503337,173.32302661579135,0.2009059976094687
1,1,-712.5125967206098,0.007029577701459497,-399.5834514580972,0.2007393936411586,-90.62259727751096,0.769922157759627,174.91651538586294,0.14513953985597625
2,2,-712.5125967206098,0.007623699083609783,-422.24230607192175,0.21620380240842327,-97.01397317771314,0.8441566980161197,160.58768349409735,0.15500394873666323
3,3,-802.9534461315294,0.023715239222170358,-407.71242828365735,0.21905461561714992,-6.543684948932101,0.8120080542348007,190.45637536237913,0.1488796886065881
4,4,-712.7964849341923,0.002001414350616821,-425.37099380411877,0.2160373386018111,-79.93710102648879,0.8174282427868987,167.3461780910898,0.1677468626345778
5,5,-717.4266047678669,0.004389568842403229,-427.59168565496805,0.18496118662253697,5.6641146461596845,0.8252231367407856,184.8150421283695,0.14955055612780468
6,6,-712.5125967206098,0.005876676356627026,-390.7491253954124,0.22478055692254786,-28.295186974824556,0.827644925742935,193.2391130841525,0.17234371671518559
7,7,-693.0562957729057,0.040362245003668216,-382.5884115553888,0.23189435374575626,-100.10153505263584,0.7,168.84569911690838,0.13035481448412148
8,8,-753.4793660170618,0.016448945015350314,-420.94646545944295,0.2261096270021135,-100.33882704151806,0.7809885692292104,169.57583772796184,0.14582318952201154
9,9,-712.669637504133,0.005080198302390314,-389.4000859708783,0.24662845546186246,-52.81020039138937,0.788957126053749,177.44011584122896,0.1731760022619096
10,10,-712.5125967206098,0.0022721487127024104,-431.4290545423365,0.19716445623203832,-85.5849813529358,0.8621425340196421,157.4320044753783,0.156262800424061
11,11,-712.5125967206098,0.004638612383882958,-418.04942119404944,0.20110217080201293,-72.46534150475986,0.7539797626427872,167.21407705892025,0.1385532053283093
12,12,-724.9614044102781,4.9532314115536e-05,-424.93046966699336,0.2606264419820674,-90.0978129351502,0.7807807903122657,167.99789993770716,0.17655968291035995
13,13,-712.5125967206098,0.007248105989594832,-406.1987500244995,0.22303263453487945,-75.22094451208336,0.7812283633987414,160.6907758626549,0.15805263215419993
14,14,-868.2998567109345,0.02674717228205892,-441.5118039934791,0.20544330270566524,68.23475229835246,0.838213738689749,191.36222816644957,0.15324914503569345
15,15,-939.6555916877392,0.08596325384952205,-425.28109166612586,0.2677720006016426,-100.56022193151183,0.8533728413812169,183.5535611572786,0.16343279648238523
16,16,-714.389478012591,0.007872618225656502,-401.27542910707217,0.20453767332555256,-32.87641979435044,0.8373549641697149,188.03066123254342,0.13646710767180326
17,17,-685.9990350600602,0.0022625381880938054,-400.545783052566,0.21214937093120487,-100.18111350477385,0.8541812223265184,163.9071830649503,0.14281241772293143
18,18,-800.127591005507,0.0005650791571236348,-414.6554749698134,0.21789717006808723,-100.18111350477385,0.8301382716004605,172.55690732974958,0.15145962043940792
19,19,-712.5125967206098,0.005226692186443974,-374.4715780364277,0.2344420759017471,-75.86756231746249,0.7489310712051491,197.79478926137602,0.14860663807275562
20,20,-694.2854375016418,0.03451593347159109,-417.52987929276816,0.23652020398272613,-52.37892311387918,0.7265617474131532,165.25794209865776,0.17831211335743746
21,21,-713.3208621163413,0.005067533928306966,-372.3850343366646,0.22789414199088628,-63.64898625454271,0.7855808346587427,191.62119893436616,0.13695386960182018
22,22,-735.450987675983,0.013391422834964542,-419.17095771969355,0.21716350648971444,-84.85158712427834,0.7769670049452513,173.90885937313206,0.14052498032387786
23,23,-837.1366966182328,0.025554418948773732,-403.8790742402126,0.27730067713148526,-79.65881227859194,0.819969309149028,184.01218096600206,0.17503502493027748
24,24,-721.1312720001264,0.00751832129865923,-389.91558577857575,0.22987511504123517,-84.28565321952216,0.7711568020795292,183.9973827246387,0.14312202573673702
25,25,-712.5125967206098,0.005965509970918919,-411.6630350486532,0.23858541798236574,-54.767357102524194,0.7914962507840495,184.77288462121288,0.16317075866888375
26,26,-806.2441256128795,0.04627614779718431,-377.58386314025404,0.23382575139249998,-56.24468978420126,0.8547917024936507,179.3161319473972,0.1489454275395579
27,27,-722.9111714990177,0.03404396910554901,-403.7156104973176,0.21158848604438943,0.6502302882673092,0.7577604149216896,181.3370793272536,0.1370922581668138
28,28,-733.4615398902156,0.003613933071349775,-395.6815151704394,0.20065236588509122,15.084772469685037,0.8315580779138605,191.67374620991623,0.13855460713110768
29,29,-712.7964849341923,0.0028613848782589116,-424.3314034139443,0.22986954643958366,-77.33798234648442,0.7983131441280933,177.74560166957036,0.16554688922879635
30,30,-713.7387893744077,0.04622813902384038,-411.89045011446126,0.2388306799519261,-100.33882704151806,0.792828289771754,161.02529989951333,0.1480201803215413
31,31,-703.5947336939402,0.0012770508078598078,-394.27897887346205,0.22755394928883024,-53.65703954421618,0.8095365202436174,162.97881666189556,0.16038930529482148
32,32,-712.7964849341923,0.00454906476344117,-437.32383323352786,0.21138735399223607,-81.40916896563992,0.7819058309269376,181.80687654688845,0.17831351902045142
33,33,-712.5125967206098,0.0038315216613205565,-402.763123202598,0.19901192272054732,-46.05101161153317,0.7358335990503788,184.93433876900508,0.1341084816630945
34,34,-688.5292050563706,0.009509042151363514,-405.7914243102488,0.19695401012647168,-48.114411357154665,0.7513557528450058,179.1162271176512,0.14372279636081817
35,35,-771.7812676463703,0.015057054941557355,-417.4164227463838,0.23537546824962277,-87.68699406266585,0.797083721672552,181.12465949405512,0.13662916975183106
36,36,-680.6809317186063,0.019689574181207183,-435.6314387074231,0.22657364537787056,-54.54358111453954,0.8264900289499462,168.04613242349578,0.18077686824984138
37,37,-713.2090001844925,0.0030580962598706373,-414.4295147629318,0.207496266462146,-86.02267987220914,0.7700704468258261,169.35231719066203,0.14270041683336013
38,38,-704.1117805842637,0.005023831351969291,-419.78497705921177,0.21370856832071733,-100.18111350477385,0.7745691854275467,169.30653800439902,0.14650300207459097
39,39,-719.7976455994573,0.028773498022937067,-405.4752281658083,0.22185579679100678,-54.229345451909296,0.8316074951974151,161.20697144922406,0.14061408303788506
40,40,-650.6471985796979,0.002624696192032563,-398.95424114040844,0.22736771115604146,-100.56022193151183,0.7270954136337674,160.56277268936086,0.1685675282316007
41,41,-712.7964849341923,0.003235302334815372,-416.7098184245397,0.2097851629936084,-58.70034173302819,0.7558071596298791,179.2573489215603,0.15135938863496132
42,42,-712.7964849341923,0.0034590295116573213,-401.31691947847696,0.2320787777269593,-82.91485714603114,0.759705010804387,169.00424732867694,0.15888344666390686
43,43,-802.1587739898655,0.003252335360714623,-412.29453321897046,0.2559145887802237,-100.18111350477385,0.8035640131152048,183.98521091705572,0.16485047580783513
44,44,-712.7964849341923,0.004485836805990447,-362.53122133662157,0.20083135816152442,67.71143916048156,0.8209393041629464,203.7871350340128,0.14441680430047177
45,45,-717.7770754198588,0.006461046425817771,-391.90168791042294,0.23627101570506825,-71.75232292193057,0.8272931428306296,188.36430700545756,0.1500195735672636
46,46,-840.054697829099,0.015524448322541297,-392.7787309207326,0.22252322892147636,9.600424231820773,0.8174566816185809,165.30106131804305,0.14193583989698602
47,47,-718.615991447857,0.007136028068631485,-367.00062465233935,0.24540161667041896,-100.16412840189976,0.7745390586099045,189.50724246042998,0.1389853698581711
48,48,-792.7169454976348,0.023102909964809064,-374.23642232465926,0.2451026594551998,-26.64955286117502,0.7698225289232571,201.3970307912712,0.15167745169257843
49,49,-713.3208621163413,0.0019909600432817583,-375.0589536779897,0.23202180300998934,-88.17692409603087,0.7317591175282506,175.38618235088177,0.15935967693146186
