gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-591.664624298172,0.05688207067516769,-366.2132099537695,0.41413151550599786,-81.7608675849421,0.9041315891588871,143.9867307927522,0.24114721608900774
1,1,-652.0333755793253,0.0016378760813738121,-387.3370258167137,0.4502713815280076,-107.5356432128345,0.90219955775565,146.43397059465929,0.2379777254426617
2,2,-690.9179183112077,0.005665529335932599,-358.8846015640117,0.5265172120428121,-110.3344856137967,0.9003081776930725,146.93859713219967,0.2224356656096577
3,3,-623.4249112092517,0.008253550252277985,-350.6294829588836,0.4847328627003254,-98.89083865384971,0.9029029961500997,147.45357180889087,0.24143345294521634
4,4,-574.5278902787942,0.002771479815406125,-346.26010808668514,0.43351580863213285,-83.20659692276975,0.9005678461002584,158.22762684358105,0.27807924514493515
5,5,-566.4151293464324,0.01256524855975424,-371.47213375017697,0.40363026573138716,-115.80235825532765,0.9002152735739051,139.67892165583933,0.27121273543855756
6,6,-613.5539094559402,0.00047650918116341946,-362.4517569559544,0.45820359926799964,-100.8157489577394,0.9009601699837002,145.5280732163086,0.24715467421620246
7,7,-608.0275804852863,0.00019275096111491145,-379.60413823270085,0.42120408164575424,-103.75840055489418,0.9003509810133503,136.05906540036682,0.23595741443240975
8,8,-625.1140702234483,0.020818608100608642,-349.99898716238965,0.47531009212778336,-85.56933687709596,0.903270631341903,170.0441649463425,0.2682469665647144
9,9,-628.0011789886511,0.0022342209156824885,-380.1281351033309,0.421738319376536,-76.38278108121234,0.9018659608513445,150.5334596321832,0.23488583678458777
10,10,-626.7687422998218,0.0015674668508503364,-344.6852725004278,0.49212565702241307,-97.70289935496862,0.9000619922762293,148.66098180980873,0.24463164991352077
11,11,-615.8292857635093,0.013845351233862881,-361.79802513441405,0.4817289767319733,-125.80270575087894,0.900010257763538,135.62568242254446,0.24049485934836964
12,12,-555.6298847931656,0.004281042971543521,-343.86440504681514,0.4586535117531552,-125.55601819312176,0.9000345874239291,140.2468240125906,0.28470722223890205
13,13,-563.6847339201162,0.008254634251449896,-349.7851577036956,0.43890875875975083,-108.41624762283529,0.9002723362760172,146.15320309822658,0.2781734608900388
14,14,-561.8085545014584,0.002855153169917891,-350.48980611105094,0.42325304700966876,-102.31918874375312,0.9021781289847409,153.54019058435344,0.29392438157135137
15,15,-641.7575620833956,0.015761675048582533,-388.63706511937323,0.43860153838869353,-100.32852745450155,0.9005473404067144,147.54787878281616,0.2438145003777785
16,16,-601.5081081185759,0.003071905667595809,-388.28412863514615,0.417915970616332,-121.58365546570657,0.900515721056994,159.51091672652888,0.2956752689667804
17,17,-579.387702294114,0.03612434265252682,-346.18712242545774,0.4374743689590206,-84.8342599512508,0.9005409254413791,139.45434323535,0.24393077121664838
18,18,-573.219798025541,0.0023007200209023033,-362.77686809735286,0.3793809924330954,-53.41246441376603,0.9001369594307805,150.65437685448853,0.25259378160801643
19,19,-616.4130445537966,0.00030648161235220556,-392.90631849401797,0.41553526735594437,-118.76766869119406,0.9002558236176721,150.30808222516995,0.2649546417930876
20,20,-598.7543081570178,0.036872518098967355,-330.2124493193762,0.4532523275645238,-52.20913935092045,0.9020655321713242,157.8334424057045,0.2490543909577249
21,21,-630.6579114560574,0.0016869850516844187,-346.9574372917042,0.47691159689736723,-86.52147496614593,0.9001436467283808,162.22150874397678,0.26142017030401976
22,22,-672.5491603447326,0.0025725721205632846,-357.6720930074967,0.4584120931205898,-42.033597392765294,0.9004998317234377,170.82789559501703,0.24208913175378502
23,23,-634.5760902022721,0.008119575230264638,-357.1861297564159,0.4826216769126789,-100.83638116792828,0.9046840737618665,162.4932754751203,0.26359906525141497
24,24,-656.7045679945849,0.0037276773827255227,-342.54624599030296,0.5405708748489131,-123.67507395487108,0.9000177636235003,150.99403086211598,0.24985154827833836
25,25,-607.1507653971845,0.01865122645792853,-350.3856213847917,0.48025815617002954,-111.94270246963792,0.9012029756648128,140.71808822218614,0.24826888409752446
26,26,-589.5902196074053,0.03869780742617791,-391.5149105054105,0.39035876884301474,-115.27363784057029,0.9008409790682502,148.08232874446938,0.2706605247349965
27,27,-583.0184644093296,0.04363150031124578,-371.25270398156994,0.4304225980836417,-125.80270575087894,0.9000602574904208,149.53909420464208,0.28322951190982065
28,28,-561.8085545014584,0.003177978733865054,-336.50868551894456,0.47782634127842344,-125.80270575087894,0.9000651319196628,135.43650776201514,0.27180057130382923
29,29,-620.7785885149118,0.007293037680532961,-334.5123780569276,0.5300849499432718,-119.63242976088337,0.9015768483198281,176.22570506457456,0.30466517272642146
30,30,-630.6069948861509,0.06265466751049344,-348.80358296012497,0.4460517866152133,-46.332745341946804,0.9004343546742533,154.24202017835213,0.2278391642211169
31,31,-708.4017909500166,0.0041717727188267505,-324.23026208986056,0.600457632988809,-124.81700565167921,0.9000000000000001,166.0295296949509,0.24999143067213397
32,32,-620.0812708843404,0.04230490801779563,-349.35624014310713,0.48743435435456706,-106.58713650087685,0.9003216700935994,146.0255476589387,0.2429170832331395
33,33,-561.8085545014584,0.003843000152069831,-365.39012846150905,0.39999221110098543,-101.03080397599388,0.9183795228548884,142.02054616681264,0.27016661349903215
34,34,-604.2911068633708,0.0021991457545385684,-379.64070820652097,0.4084522677916542,-87.42272925344417,0.9000000000000001,144.768772084681,0.24692091354563928
35,35,-619.3188638688098,0.09999999999999987,-357.21137988470934,0.4798172834352997,-118.52738149534814,0.9000000000000001,142.84697325567723,0.2467557726841847
36,36,-601.8619779344903,0.07534503839811282,-342.3734878779397,0.4941409359134504,-115.6792900566373,0.9037453280002857,145.19686976596594,0.25958675256412855
37,37,-561.8085545014584,0.00288389715883875,-292.51025089595856,0.5428231234698856,-105.94882279146252,0.9007469695145591,133.90298399619326,0.2543654494717033
38,38,-577.3077374759926,0.035624790441672514,-320.34709932880025,0.5255371328932957,-125.80270575087894,0.9000412781407933,144.24216739551667,0.2751083694918863
39,39,-569.8459148364764,0.01898971174902992,-371.0276983106088,0.4144950367479948,-124.11708040577743,0.9030121228331409,149.91891437220312,0.29328701129040585
40,40,-572.7897096339319,0.006604496530491493,-373.8979100265418,0.41822724993869353,-120.69174502251626,0.9000877317704713,140.91562072080066,0.2674276965841337
41,41,-568.4030444678373,0.002121622313008077,-385.9306598788277,0.3614726435281544,-97.60777233921844,0.9028396880608117,147.15840275296821,0.2721273212658038
42,42,-561.8085545014584,0.004190514466334152,-367.2308656715156,0.35265644826436954,-40.7964570917337,0.9002886334389394,152.434290184977,0.25480197554787926
43,43,-594.4673102005642,0.0015701242118042775,-378.40540536735625,0.39017493375513057,-76.50857929963826,0.9041491422577452,140.50822435737615,0.2369805414909561
44,44,-590.5308662344652,0.0047993588901446,-389.6619914278469,0.34705078714320736,-44.37829406428407,0.9005456442621859,136.85723540103527,0.2159674733492271
45,45,-616.0497581287768,0.0005293487763007337,-397.87588876680377,0.3886447007619007,-88.534362674151,0.9000000000000001,134.93929310396123,0.22168852557954058
46,46,-626.1034689919202,0.003374044380409392,-413.23622877535655,0.38922923859169756,-112.30170525303663,0.9034921712031659,138.52589918383055,0.23778509192781017
47,47,-616.7210101864863,0.000788851658504222,-365.2846719338907,0.43272349061228715,-77.33598385039612,0.9026090093085163,172.65283350468624,0.2782824442881534
48,48,-740.6397402188767,0.011071254390084068,-363.45959559370687,0.517440502967095,-70.62264567165266,0.9012722990421587,170.30259123809887,0.22156936260570945
49,49,-671.5538571717726,0.003746891678168651,-390.1780891903622,0.4805937902257348,-125.80270575087894,0.9002234488178388,152.6672785405901,0.24586167406677548
