gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-616.4130445537966,0.0004963225723043794,-383.20244109976505,0.3651894775592926,-125.80270575087894,0.7004429898573444,144.0042264030211,0.19116882790968157
1,1,-555.7931301359073,0.18250427430707475,-261.69196944917024,0.5293196870245414,-111.1495973145487,0.7009421975907592,144.61134115566648,0.1601135430985436
2,2,-480.89757371714126,0.1650201105254311,-181.6921076659261,0.6178598970728085,-111.1495973145487,0.7009421975907592,97.95442423448087,0.1186261492403341
3,3,-228.62727523848176,0.5181547028370526,-133.0133314199957,0.6780890070540857,-111.1495973145487,0.7009421975907592,22.917316258709803,0.04131546260790988
4,4,-303.10777920615186,0.5181547028370526,-135.1554444218057,0.6873418016783498,-111.1495973145487,0.7063146080026464,35.32040877987946,0.03396447726888255
5,5,-144.66264631644302,0.6736879383377469,-122.31578091719332,0.697296405040841,-111.1495973145487,0.7063146080026464,6.40603254122212,0.008835708404815772
6,6,-303.10777920615186,0.6772396049343872,-122.23346001753278,0.6998755976627224,-111.1495973145487,0.7063146080026464,22.562210717783653,0.0070797901616500205
7,7,-303.10777920615186,0.6843202822917298,-119.10494675011975,0.7031368044308967,-111.1495973145487,0.7063146080026464,22.620451898912446,0.004173029143353377
8,8,-303.10777920615186,0.6772396049343872,-119.05672409571658,0.7040428643228331,-111.1495973145487,0.7063146080026464,22.416316685782057,0.00440309834829962
9,9,-125.80270575087894,0.6912885602262367,-116.5268853171248,0.7050439349031239,-111.1495973145487,0.7063146080026464,1.8340541297633093,0.0035074241217794666
10,10,-125.80270575087894,0.7,-117.54061801451738,0.711511266160029,-111.1495973145487,0.761702491732093,2.9100792343132187,0.016787895167757173
11,11,-213.614287053531,0.7,-123.52276264052084,0.7296118764438834,-116.8020512480486,0.8158105686573641,19.484904531124307,0.03576061197036885
12,12,-213.614287053531,0.4891337180442924,-130.32313728104808,0.735574652556547,-116.8020512480486,0.8245660040806947,27.090524153904813,0.05196818516879352
13,13,-213.614287053531,0.6726229484158248,-136.5095509954085,0.7577852870827424,-116.8020512480486,0.8245660040806947,28.93790072614923,0.04637499125477565
14,14,-213.614287053531,0.6804596735635696,-147.2055268268324,0.781497302942135,-116.8020512480486,0.8245660040806947,31.647145847044076,0.041740597543529205
15,15,-278.9408440980184,0.406222818009733,-163.7200947563149,0.7927064108966975,-125.80270575087894,0.9066206392799909,36.150323220569284,0.07673984067738263
16,16,-213.614287053531,0.6347307182466857,-167.67530783603297,0.8132146407429955,-125.80270575087894,0.9066206392799909,21.9375503130392,0.05332164463177725
17,17,-174.47885331220297,0.6202226385718633,-169.61123855607053,0.8220465844601035,-125.80270575087894,0.9066206392799909,14.602844268397208,0.07111418084739414
18,18,-174.47885331220297,0.47749955915169773,-171.69735916584156,0.8252650750020756,-125.80270575087894,1.0,11.29848263365496,0.10790614134597593
19,19,-174.47885331220297,0.4468630854682205,-171.39738792837514,0.8534129294666498,-115.3037124395541,1.0,12.579716811256253,0.10925632788978129
20,20,-174.47885331220297,0.4601055436834967,-160.86326581207538,0.8891990851065997,-115.3037124395541,1.0,24.083993978715668,0.12933890375612486
21,21,-174.47885331220297,0.6805940931258281,-149.09436066534664,0.9245186383317393,-115.3037124395541,1.0,27.71463894734832,0.08197488454616676
22,22,-174.47885331220297,0.5345867019707007,-139.8559429378818,0.9520187146460167,-115.3037124395541,1.0,26.73600952827561,0.08441201201674094
23,23,-174.47885331220297,0.6789069398941366,-129.40683267363923,0.9662340450985704,-115.3037124395541,1.0,20.71205509905752,0.07667580020260212
24,24,-174.47885331220297,0.7000307458246224,-122.002893742653,0.9874274772784174,-114.8632316369365,1.0,11.518692915517779,0.05278763910986948
25,25,-125.80270575087894,0.7000307458246224,-119.47594652993443,0.9871493873869406,-114.8632316369365,1.0,3.3200538820810426,0.060729628503588054
26,26,-125.80270575087894,0.7001572383692011,-120.05133591546858,0.9914330639534057,-114.8632316369365,1.0,3.210060847025505,0.04995339197390728
27,27,-125.80270575087894,0.8164838956256584,-120.36397683509526,0.9921350240982426,-115.3037124395541,1.0,3.591427403537868,0.03716842601662578
28,28,-151.11874861163818,0.6875667432878706,-119.83620903443199,0.9873794981993995,-114.8632316369365,1.0,5.20965306684526,0.05577761913420617
29,29,-151.11874861163818,0.6006338187465303,-119.76473284708801,0.9757239232766192,-114.8632316369365,1.0,5.330052724406927,0.08396561561931185
30,30,-151.11874861163818,0.7,-120.61418342291766,0.9922510372248963,-114.8632316369365,1.0,7.532787960715476,0.03880115931180877
31,31,-151.11874861163818,0.6155437479533984,-119.0792484743577,0.9885039606175173,-114.8632316369365,1.0,5.0549368125753915,0.06098207104759872
32,32,-125.80270575087894,0.6605426266919062,-118.70216788305741,0.9905562195827554,-114.8632316369365,1.0,3.250658882564718,0.05508689060284581
33,33,-125.80270575087894,0.6898297983307857,-118.39301648572442,0.9784764410593167,-114.8632316369365,1.0,2.9349590546323174,0.07761357173615648
34,34,-125.80270575087894,0.6962641724300775,-118.64960679172302,0.9913752024632868,-114.8632316369365,1.0,2.846260924927545,0.050291770651886274
35,35,-125.80270575087894,0.700358044886074,-118.6341839555764,0.9884998640118308,-114.8632316369365,1.0,2.69503649840686,0.0551149331283696
36,36,-125.80270575087894,0.6833323090186902,-118.88955709634655,0.9869548838632125,-114.8632316369365,1.0,2.7306828286936975,0.06167572840750005
37,37,-120.01340983008477,0.6868325299108149,-118.52063405584322,0.9827187073403729,-114.8632316369365,1.0,2.2061184244809793,0.07021341839373502
38,38,-120.01340983008477,0.7002955410254019,-118.45964524744447,0.9957185077289342,-114.8632316369365,1.0,2.2217075742083314,0.03556474586773354
39,39,-120.01340983008477,0.7,-118.29991213327973,0.9785714285714285,-114.8632316369365,1.0,2.3013085169913596,0.07726181304565692
40,40,-120.01340983008477,1.0,-117.99496809128593,1.0,-115.3037124395541,1.0,2.3306957624781917,0.0
41,41,-120.01340983008477,0.788570734330745,-117.86040530869933,0.9969795819190107,-115.3037124395541,1.0,2.3461822834263293,0.025089476907535404
42,42,-120.01340983008477,0.7,-117.45042437804503,0.9909833217605201,-114.8632316369365,1.0,2.3525304230284214,0.04410699975648096
43,43,-120.01340983008477,0.9401308944528314,-117.38943556964628,0.9974341811908356,-115.3037124395541,1.0,2.3394195450502364,0.012125586622481832
44,44,-120.01340983008477,0.9401308944528314,-117.65856113481945,0.9982894541272239,-115.3037124395541,1.0,2.354848695265332,0.00997411069808446
45,45,-120.01340983008477,0.9991635236482417,-117.65856113481945,0.999964151013496,-115.3037124395541,1.0,2.354848695265332,0.00016941570060558173
46,46,-120.01340983008477,0.9401308944528314,-118.26409365645912,0.9991447270636119,-115.3037124395541,1.0,2.2756631435319146,0.007104430582709595
47,47,-120.01340983008477,0.7,-118.52692663873775,0.9872262795726464,-114.8632316369365,1.0,2.196283600175437,0.0603669200910216
48,48,-120.01340983008477,0.7,-118.31249729906881,0.9828774579298079,-114.8632316369365,1.0,2.2836163513790497,0.06955225044141347
49,49,-120.01340983008477,0.7,-118.05595689968467,0.9957142857142858,-114.8632316369365,1.0,2.3280457269697337,0.03559981655536318
50,50,-120.01340983008477,0.7,-118.05595689968467,0.991440109479494,-114.8632316369365,1.0,2.3280457269697337,0.04991235652636907
