gen,gen,min,avg,max,std
0,0,8.666666666666666,48.95238095238096,118.66666666666667,36.60185985882025
1,1,9.333333333333334,54.90476190476191,118.66666666666667,35.277455495162236
2,2,56.0,108.9047619047619,308.6666666666667,84.17531106682814
3,3,56.0,108.9047619047619,308.6666666666667,84.17531106682814
4,4,59.0,125.04761904761904,308.6666666666667,82.60067038650061
5,5,59.0,136.66666666666666,308.6666666666667,75.92059343772617
6,6,59.0,136.66666666666666,308.6666666666667,75.92059343772617
7,7,59.0,136.66666666666666,308.6666666666667,75.92059343772617
8,8,59.0,146.47619047619045,308.6666666666667,74.5860230199464
9,9,59.0,146.47619047619045,308.6666666666667,74.5860230199464
10,10,59.0,186.42857142857142,408.6666666666667,117.23395606015664
11,11,59.0,186.42857142857142,408.6666666666667,117.23395606015664
12,12,76.33333333333333,188.90476190476193,408.6666666666667,114.67133355476872
13,13,76.33333333333333,228.00000000000003,408.6666666666667,128.0043402041943
14,14,76.33333333333333,228.00000000000003,408.6666666666667,128.0043402041943
15,15,76.33333333333333,228.00000000000003,408.6666666666667,128.0043402041943
16,16,91.33333333333333,235.80952380952382,408.6666666666667,119.92561942725726
17,17,91.33333333333333,235.80952380952382,408.6666666666667,119.92561942725726
18,18,91.33333333333333,265.76190476190476,408.6666666666667,123.06014973790153
19,19,109.66666666666667,268.3809523809524,408.6666666666667,119.46247714957204
