gen,gen,min,avg,max,std
0,0,9.333333333333334,41.523809523809526,150.0,46.1707861812926
1,1,9.333333333333334,119.19047619047619,500.0,162.50556592595868
2,2,9.333333333333334,157.61904761904765,500.0,151.06179000360405
3,3,53.333333333333336,182.04761904761904,500.0,134.80620170504247
4,4,53.333333333333336,182.04761904761904,500.0,134.80620170504247
5,5,77.33333333333333,223.71428571428572,500.0,145.34845143860633
6,6,77.33333333333333,223.71428571428572,500.0,145.34845143860633
7,7,77.33333333333333,230.52380952380955,500.0,142.8302196852221
8,8,77.33333333333333,235.61904761904762,500.0,140.30877837106937
9,9,77.33333333333333,235.61904761904762,500.0,140.30877837106937
10,10,77.33333333333333,235.61904761904762,500.0,140.30877837106937
11,11,77.33333333333333,235.61904761904762,500.0,140.30877837106937
12,12,77.33333333333333,235.61904761904762,500.0,140.30877837106937
13,13,77.33333333333333,239.8095238095238,500.0,138.59703576193635
14,14,130.66666666666666,293.2857142857143,500.0,137.80471903954947
15,15,130.66666666666666,316.1904761904762,500.0,130.77095657637528
16,16,130.66666666666666,316.1904761904762,500.0,130.77095657637528
17,17,189.66666666666666,368.5238095238095,500.0,118.80888443381734
18,18,189.66666666666666,368.5238095238095,500.0,118.80888443381734
19,19,189.66666666666666,390.8571428571428,500.0,126.48293154726102
20,20,189.66666666666666,432.2857142857142,500.0,106.35123428533214
21,21,189.66666666666666,439.19047619047615,500.0,108.9232811621938
22,22,189.66666666666666,439.19047619047615,500.0,108.9232811621938
23,23,189.66666666666666,439.19047619047615,500.0,108.9232811621938
24,24,189.66666666666666,439.19047619047615,500.0,108.9232811621938
