gen,gen,min,avg,max,std
0,0,8.666666666666666,38.31111111111111,231.33333333333334,48.680053967934214
1,1,9.0,66.15555555555555,231.33333333333334,64.48242558927622
2,2,10.0,90.50000000000001,237.66666666666666,64.86377463006033
3,3,12.333333333333334,126.77777777777779,237.66666666666666,82.4411499791005
4,4,9.0,109.71111111111114,237.66666666666666,72.81705810191238
5,5,9.666666666666666,122.3,239.0,81.39757708651749
6,6,9.666666666666666,176.5444444444444,500.0,142.8171709598942
7,7,51.0,236.1,500.0,150.81571167782516
8,8,51.0,296.9111111111111,500.0,167.33968410554385
9,9,10.0,246.33333333333337,500.0,159.80216936366455
10,10,10.0,251.4,500.0,154.84294073769166
11,11,89.0,299.4222222222222,500.0,160.5835408136429
12,12,124.0,428.82222222222225,500.0,118.18102038926094
13,13,124.0,433.8888888888889,500.0,115.58823255925682
14,14,9.0,412.7444444444444,500.0,161.43189558937925
15,15,12.0,447.7333333333333,500.0,129.9611451906271
16,16,10.0,388.81111111111113,500.0,190.78336916675227
17,17,9.0,399.8444444444445,500.0,180.78785876419687
18,18,34.333333333333336,440.58888888888885,500.0,142.85218165106588
19,19,79.0,460.23333333333335,500.0,119.4140369563906
20,20,15.333333333333334,423.2,500.0,163.516418928679
21,21,9.666666666666666,371.63333333333327,500.0,205.86497462603438
22,22,10.666666666666666,359.7333333333334,500.0,200.49489510449624
23,23,35.0,354.8111111111111,500.0,193.97250059648744
24,24,10.0,369.77777777777777,500.0,196.9902109493681
25,25,30.333333333333332,443.87777777777774,500.0,138.344430166251
