gen,gen,min,avg,max,std
0,0,8.0,47.28888888888889,430.6666666666667,79.72627864244537
1,1,8.666666666666666,111.02222222222221,500.0,143.07345777951846
2,2,35.0,156.9111111111111,500.0,156.89373458050287
3,3,51.0,218.6333333333333,500.0,171.4536402084853
4,4,24.0,276.35555555555555,500.0,183.63246169360775
5,5,133.33333333333334,402.2222222222223,500.0,162.14610086181952
6,6,133.33333333333334,463.3333333333333,500.0,110.0
7,7,38.333333333333336,484.6111111111111,500.0,82.87170286534766
8,8,500.0,500.0,500.0,0.0
9,9,17.333333333333332,469.5444444444445,500.0,114.14930065272486
10,10,500.0,500.0,500.0,0.0
11,11,500.0,500.0,500.0,0.0
12,12,500.0,500.0,500.0,0.0
13,13,500.0,500.0,500.0,0.0
14,14,500.0,500.0,500.0,0.0
15,15,500.0,500.0,500.0,0.0
16,16,58.0,485.26666666666665,500.0,79.34142815844837
17,17,500.0,500.0,500.0,0.0
18,18,46.666666666666664,484.88888888888886,500.0,81.37582375225472
19,19,500.0,500.0,500.0,0.0
20,20,500.0,500.0,500.0,0.0
21,21,500.0,500.0,500.0,0.0
22,22,500.0,500.0,500.0,0.0
23,23,500.0,500.0,500.0,0.0
24,24,500.0,500.0,500.0,0.0
25,25,500.0,500.0,500.0,0.0
