gen,gen,min,avg,max,std
0,0,8.666666666666666,36.766666666666666,138.0,38.970658478170755
1,1,12.333333333333334,66.53333333333333,138.0,37.04447777109745
2,2,12.333333333333334,73.03333333333333,138.0,39.64605907275022
3,3,8.666666666666666,66.43333333333334,138.0,37.82651921014615
4,4,36.666666666666664,72.16666666666666,81.66666666666667,12.737739202856998
5,5,10.0,40.89999999999999,81.66666666666667,25.417426218158983
6,6,10.0,35.36666666666666,71.66666666666667,18.675860830970493
7,7,10.0,27.633333333333333,77.0,22.68060845744664
8,8,10.0,39.9,77.0,22.174083972060718
9,9,10.0,53.533333333333324,208.0,53.56080656599562
10,10,10.0,33.266666666666666,54.0,19.083326055311566
11,11,10.0,42.16666666666667,97.66666666666667,25.0174383625147
12,12,11.0,52.9,126.33333333333333,35.97933048601964
13,13,11.0,79.73333333333332,241.66666666666666,65.00885409781587
14,14,10.0,99.63333333333331,241.66666666666666,103.19888565289841
15,15,11.0,146.53333333333336,241.66666666666666,103.95033001925059
