gen,gen,min,avg,max,std
0,0,8.0,27.788888888888884,239.0,46.42552645014205
1,1,8.666666666666666,67.04444444444445,239.0,67.59595283377676
2,2,27.0,116.07777777777778,239.0,69.99358083442146
3,3,61.666666666666664,146.46666666666664,239.0,76.78071710083542
4,4,95.66666666666667,216.85555555555553,500.0,98.35569174565057
5,5,106.33333333333333,270.7111111111111,500.0,115.44800764472207
6,6,106.33333333333333,308.28888888888895,500.0,124.26389879289107
7,7,239.0,412.5444444444445,500.0,110.76259173744114
8,8,334.0,472.3333333333333,500.0,61.86454737749419
9,9,500.0,500.0,500.0,0.0
10,10,500.0,500.0,500.0,0.0
11,11,500.0,500.0,500.0,0.0
12,12,8.666666666666666,472.5,500.0,104.88952742272683
13,13,500.0,500.0,500.0,0.0
14,14,500.0,500.0,500.0,0.0
15,15,178.0,489.26666666666665,500.0,57.80076892991035
