gen,gen,min,avg,max,std
0,0,9.0,85.95555555555553,456.0,108.42405546035039
1,1,9.333333333333334,228.7555555555555,500.0,186.78393009895117
2,2,9.333333333333334,352.8555555555556,500.0,179.91960516015942
3,3,32.333333333333336,455.6666666666667,500.0,108.50458259651731
4,4,456.0,498.53333333333336,500.0,7.898241717130607
5,5,500.0,500.0,500.0,0.0
6,6,187.66666666666666,489.58888888888885,500.0,56.06554915872256
7,7,500.0,500.0,500.0,0.0
8,8,500.0,500.0,500.0,0.0
9,9,500.0,500.0,500.0,0.0
10,10,500.0,500.0,500.0,0.0
11,11,9.333333333333334,483.6444444444444,500.0,88.07736217891099
12,12,310.0,493.6666666666667,500.0,34.10604377851852
13,13,60.666666666666664,472.1666666666667,500.0,104.29526284473255
14,14,500.0,500.0,500.0,0.0
15,15,500.0,500.0,500.0,0.0
16,16,500.0,500.0,500.0,0.0
17,17,500.0,500.0,500.0,0.0
18,18,360.3333333333333,495.3444444444445,500.0,25.070933935437306
19,19,360.3333333333333,495.3444444444444,500.0,25.070933935437306
20,20,500.0,500.0,500.0,0.0
21,21,500.0,500.0,500.0,0.0
22,22,44.333333333333336,484.81111111111113,500.0,81.79466990392075
23,23,500.0,500.0,500.0,0.0
24,24,500.0,500.0,500.0,0.0
25,25,500.0,500.0,500.0,0.0
26,26,500.0,500.0,500.0,0.0
27,27,500.0,500.0,500.0,0.0
28,28,500.0,500.0,500.0,0.0
29,29,9.333333333333334,483.6444444444444,500.0,88.07736217891099
30,30,500.0,500.0,500.0,0.0
