gen,gen,min,avg,max,std
0,0,9.333333333333334,133.60000000000002,454.6666666666667,172.5520082628874
1,1,9.333333333333334,139.53333333333336,454.6666666666667,168.6427651048874
2,2,9.333333333333334,226.66666666666666,454.6666666666667,194.43330761757645
3,3,31.666666666666668,314.2666666666667,454.6666666666667,177.88153361155847
4,4,175.66666666666666,398.8666666666667,454.6666666666667,111.60000000000001
5,5,454.6666666666667,454.6666666666667,454.6666666666667,0.0
6,6,454.6666666666667,454.6666666666667,454.6666666666667,0.0
7,7,454.6666666666667,455.0666666666667,456.6666666666667,0.7999999999999999
8,8,454.6666666666667,454.6666666666667,454.6666666666667,0.0
9,9,454.6666666666667,472.8,500.0,22.20870700123414
10,10,454.6666666666667,490.9333333333334,500.0,18.133333333333326
11,11,454.6666666666667,490.9333333333334,500.0,18.133333333333326
12,12,500.0,500.0,500.0,0.0
13,13,500.0,500.0,500.0,0.0
14,14,500.0,500.0,500.0,0.0
15,15,109.66666666666667,421.9333333333333,500.0,156.13333333333335
