gen,gen,min,avg,max,std
0,0,8.0,31.666666666666668,163.33333333333334,45.427353482724975
1,1,9.666666666666666,137.26666666666665,500.0,185.92165614102683
2,2,9.666666666666666,265.06666666666666,500.0,235.15705390228038
3,3,18.0,315.4333333333333,500.0,226.17672785285012
4,4,141.33333333333334,464.1333333333334,500.0,107.60000000000001
5,5,141.33333333333334,428.2666666666667,500.0,143.46666666666667
6,6,9.666666666666666,336.8,500.0,202.83656255988737
7,7,9.666666666666666,403.0666666666667,500.0,193.8832294621344
8,8,9.666666666666666,403.06666666666666,500.0,193.8832294621344
9,9,9.666666666666666,450.9666666666667,500.0,147.1
10,10,32.333333333333336,420.0,500.0,162.83659157436193
11,11,9.666666666666666,338.9333333333333,500.0,200.47930344828893
12,12,9.666666666666666,361.73333333333335,500.0,211.51452800116488
13,13,18.0,360.3,500.0,213.56614640173868
14,14,500.0,500.0,500.0,0.0
15,15,500.0,500.0,500.0,0.0
