gen,gen,min,avg,max,std
0,0,9.0,80.88333333333334,456.0,108.66622060235646
1,1,9.333333333333334,158.99999999999997,456.0,145.48627273923665
2,2,153.66666666666666,321.25,500.0,121.69834633223246
3,3,161.66666666666666,375.63333333333327,456.0,97.19030015615984
4,4,219.66666666666666,398.99999999999994,456.0,66.03475515884713
5,5,9.333333333333334,317.8,500.0,180.20982831749834
6,6,151.66666666666666,406.2,500.0,111.0321474969199
7,7,151.66666666666666,428.6,500.0,88.164026425496
8,8,456.0,464.8,500.0,17.6
9,9,456.0,471.4,500.0,20.986662431172803
10,10,9.333333333333334,436.9833333333333,500.0,126.17102480363705
11,11,66.66666666666667,446.9666666666666,500.0,117.29326493878496
12,12,456.0,495.6,500.0,13.200000000000001
13,13,456.0,497.8,500.0,9.589577675789482
14,14,500.0,500.0,500.0,0.0
15,15,500.0,500.0,500.0,0.0
