gen,gen,min,avg,max,std
0,0,9.0,41.977777777777774,164.0,46.30494200753292
1,1,9.333333333333334,121.94444444444444,500.0,153.75119592027107
2,2,18.0,132.96666666666664,500.0,148.28856627835094
3,3,9.666666666666666,151.4555555555556,500.0,142.8922277992477
4,4,10.0,184.1888888888889,500.0,162.81151754993743
5,5,9.333333333333334,189.47777777777776,500.0,162.33093047122696
6,6,10.0,188.72222222222226,500.0,163.18807788999814
7,7,10.0,270.1333333333333,500.0,183.2674346210821
8,8,10.0,356.01111111111106,500.0,182.70568284322704
9,9,171.66666666666666,429.96666666666664,500.0,120.99281735645239
10,10,8.666666666666666,400.9444444444444,500.0,159.05612993259896
11,11,17.666666666666668,353.06666666666666,500.0,192.5231183809132
12,12,8.666666666666666,401.59999999999997,500.0,173.8879460393324
13,13,10.0,419.9444444444444,500.0,155.7922425524011
14,14,42.666666666666664,389.55555555555554,500.0,188.0224441554062
15,15,42.666666666666664,425.96666666666664,500.0,157.83186905339775
