gen,gen,min,avg,max,std
0,0,10.0,79.14285714285714,179.0,62.879541463769264
1,1,10.0,148.71428571428572,500.0,152.93015612710667
2,2,10.0,163.57142857142858,500.0,147.77768741579084
3,3,33.0,166.85714285714286,500.0,144.5470052775009
4,4,33.0,166.85714285714286,500.0,144.5470052775009
5,5,33.0,166.85714285714286,500.0,144.5470052775009
6,6,33.0,181.57142857142858,500.0,141.80152844517494
7,7,39.0,212.71428571428572,500.0,142.7162162031594
8,8,57.0,260.14285714285717,500.0,136.55080537653225
9,9,57.0,260.14285714285717,500.0,136.55080537653225
10,10,57.0,260.14285714285717,500.0,136.55080537653225
11,11,57.0,279.14285714285717,500.0,150.9393715289388
12,12,57.0,287.7142857142857,500.0,147.8162124161664
13,13,57.0,287.7142857142857,500.0,147.8162124161664
14,14,180.0,317.57142857142856,500.0,115.8507132265574
