gen,gen,min,avg,max,std
0,0,9.0,49.96666666666667,445.3333333333333,106.0149657499495
1,1,9.333333333333334,123.03333333333333,445.3333333333333,132.8120462519482
2,2,9.333333333333334,158.64444444444445,445.3333333333333,121.59187757148102
3,3,55.0,226.76666666666662,445.3333333333333,124.54703558926671
4,4,9.333333333333334,267.8555555555555,445.3333333333333,148.7174971232951
5,5,65.33333333333333,334.8111111111112,445.3333333333333,140.30819736178492
6,6,87.33333333333333,425.22222222222234,488.0,76.23240942613306
7,7,445.3333333333333,451.02222222222224,488.0,14.503877727552815
8,8,445.3333333333333,460.9777777777778,488.0,20.56082815260582
9,9,445.3333333333333,476.62222222222226,488.0,18.86790991846628
10,10,445.3333333333333,482.31111111111113,488.0,14.503877727552819
11,11,109.0,475.3666666666667,488.0,68.03258206346591
12,12,488.0,488.8,500.0,2.9933259094191538
13,13,488.0,491.2,500.0,5.306599664568639
14,14,488.0,494.4,500.0,5.986651818838307
15,15,488.0,497.6,500.0,4.8
