gen,gen,min,avg,max,std
0,0,9.333333333333334,115.38095238095238,454.6666666666667,152.52805399740677
1,1,25.333333333333332,221.61904761904765,500.0,174.641076694271
2,2,26.333333333333332,223.0,500.0,173.27947881321026
3,3,58.0,234.7619047619048,500.0,162.01897931990544
4,4,101.66666666666667,294.8095238095238,500.0,168.37551165525844
5,5,101.66666666666667,308.99999999999994,500.0,164.31734685111755
6,6,101.66666666666667,308.99999999999994,500.0,164.31734685111755
7,7,101.66666666666667,354.19047619047615,500.0,167.1093033746967
8,8,101.66666666666667,354.19047619047615,500.0,167.1093033746967
9,9,119.0,364.4761904761904,500.0,152.85784008148363
10,10,119.0,364.4761904761904,500.0,152.85784008148363
11,11,119.0,381.7142857142857,500.0,151.86652750646124
12,12,173.66666666666666,390.8095238095238,500.0,137.0433666900427
13,13,173.66666666666666,390.8095238095238,500.0,137.0433666900427
14,14,173.66666666666666,390.8095238095238,500.0,137.0433666900427
15,15,173.66666666666666,390.8095238095238,500.0,137.0433666900427
16,16,173.66666666666666,395.6190476190476,500.0,130.06743410618196
17,17,173.66666666666666,395.6190476190476,500.0,130.06743410618196
18,18,173.66666666666666,395.6190476190476,500.0,130.06743410618196
19,19,173.66666666666666,395.6190476190476,500.0,130.06743410618196
20,20,173.66666666666666,395.6190476190476,500.0,130.06743410618196
21,21,173.66666666666666,395.6190476190476,500.0,130.06743410618196
22,22,173.66666666666666,399.7142857142857,500.0,124.69854807156523
23,23,173.66666666666666,399.7142857142857,500.0,124.69854807156523
24,24,173.66666666666666,399.7142857142857,500.0,124.69854807156523
