gen,gen,min,avg,max,std
0,0,8.666666666666666,36.18888888888889,192.33333333333334,42.71964448226785
1,1,9.0,54.57777777777778,192.33333333333334,49.74102810098731
2,2,9.666666666666666,80.82222222222224,192.33333333333334,39.3257745404954
3,3,10.0,115.31111111111113,192.33333333333334,47.466006029526675
4,4,106.66666666666667,163.95555555555558,192.33333333333334,38.18228533731641
5,5,106.66666666666667,199.73333333333326,500.0,57.83734536195898
6,6,192.33333333333334,252.13333333333327,500.0,119.91359852456729
7,7,9.0,287.0444444444444,500.0,150.7536310804838
8,8,192.33333333333334,387.1888888888889,500.0,148.26284675668097
9,9,192.33333333333334,489.7444444444444,500.0,55.22785685539051
10,10,58.0,485.26666666666665,500.0,79.34142815844837
11,11,95.33333333333333,486.5111111111111,500.0,72.6398897317921
12,12,500.0,500.0,500.0,0.0
13,13,500.0,500.0,500.0,0.0
14,14,500.0,500.0,500.0,0.0
15,15,500.0,500.0,500.0,0.0
16,16,10.0,455.53333333333336,500.0,133.81118814984822
17,17,500.0,500.0,500.0,0.0
18,18,500.0,500.0,500.0,0.0
19,19,500.0,500.0,500.0,0.0
20,20,120.66666666666667,487.35555555555555,500.0,68.09241722798961
21,21,69.66666666666667,485.6555555555555,500.0,77.24719740011828
22,22,134.66666666666666,487.8222222222222,500.0,65.57934031799354
23,23,500.0,500.0,500.0,0.0
24,24,500.0,500.0,500.0,0.0
25,25,500.0,500.0,500.0,0.0
