gen,gen,min,avg,max,std
0,0,8.666666666666666,74.49999999999999,384.3333333333333,83.7092299880078
1,1,9.0,108.76666666666667,269.0,76.9806685690202
2,2,58.0,193.31111111111113,428.3333333333333,112.32660491993651
3,3,73.33333333333333,237.79999999999998,428.3333333333333,124.17462614309645
4,4,78.0,340.1666666666667,428.3333333333333,117.28928308215515
5,5,133.0,400.1333333333334,428.3333333333333,74.1526253874524
6,6,78.66666666666667,411.14444444444445,428.3333333333333,68.02808152919799
7,7,428.3333333333333,428.3333333333334,428.3333333333333,1.1368683772161603e-13
8,8,390.6666666666667,427.07777777777784,428.3333333333333,6.76137359117998
9,9,428.3333333333333,428.3333333333334,428.3333333333333,1.1368683772161603e-13
10,10,48.0,411.75555555555565,500.0,93.45963412017267
11,11,58.0,418.67777777777786,500.0,81.10288314431854
12,12,428.3333333333333,458.7555555555556,500.0,34.94842054750734
13,13,428.3333333333333,473.7222222222223,500.0,34.535766037580075
14,14,42.0,477.56666666666666,500.0,83.68088192651891
15,15,10.0,476.71111111111105,500.0,94.40526246055839
16,16,66.66666666666667,485.5555555555556,500.0,77.78571388083174
17,17,50.0,485.0,500.0,80.77747210701756
18,18,45.333333333333336,484.8444444444445,500.0,81.6151644103496
19,19,500.0,500.0,500.0,0.0
20,20,500.0,500.0,500.0,0.0
21,21,321.0,494.03333333333336,500.0,32.13148334923588
22,22,57.333333333333336,479.40000000000003,500.0,84.45210783940514
23,23,40.0,419.2,500.0,164.893447076859
24,24,40.0,417.04444444444454,500.0,167.69943866451985
25,25,87.33333333333333,461.8222222222222,500.0,104.60011094581371
