gen,gen,min,avg,max,std
0,0,9.333333333333334,168.29999999999998,454.6666666666667,190.02177945347913
1,1,9.333333333333334,185.2,454.6666666666667,207.46133240785966
2,2,9.666666666666666,257.9666666666667,454.6666666666667,201.1813692500708
3,3,9.666666666666666,225.1,454.6666666666667,208.38122382893437
4,4,26.0,342.20000000000005,454.6666666666667,162.95897234171142
5,5,11.666666666666666,372.8,454.6666666666667,153.26536174593105
6,6,11.666666666666666,399.3,454.6666666666667,131.04116825554394
7,7,454.6666666666667,454.6666666666667,454.6666666666667,0.0
8,8,454.6666666666667,454.6666666666667,454.6666666666667,0.0
9,9,454.6666666666667,454.6666666666667,454.6666666666667,0.0
10,10,454.6666666666667,454.6666666666667,454.6666666666667,0.0
11,11,454.6666666666667,454.6666666666667,454.6666666666667,0.0
12,12,9.666666666666666,410.1666666666667,454.6666666666667,133.5
13,13,454.6666666666667,454.6666666666667,454.6666666666667,0.0
14,14,454.6666666666667,454.6666666666667,454.6666666666667,0.0
15,15,454.6666666666667,454.6666666666667,454.6666666666667,0.0
