gen,gen,min,avg,max,std
0,0,9.0,72.67777777777776,377.3333333333333,95.14992004174579
1,1,9.333333333333334,153.14444444444445,500.0,163.3644796455966
2,2,36.666666666666664,299.6222222222222,500.0,185.57306105050463
3,3,39.0,426.22222222222223,500.0,147.4030336220651
4,4,57.333333333333336,473.11111111111114,500.0,101.12029262342405
5,5,78.66666666666667,485.9555555555555,500.0,75.63164795797793
6,6,500.0,500.0,500.0,0.0
7,7,500.0,500.0,500.0,0.0
8,8,500.0,500.0,500.0,0.0
9,9,500.0,500.0,500.0,0.0
10,10,432.3333333333333,497.74444444444447,500.0,12.146538398314494
