gen,gen,min,avg,max,std
0,0,9.0,89.2888888888889,399.3333333333333,107.83693908906523
1,1,9.333333333333334,173.26666666666668,500.0,144.67942596062613
2,2,46.666666666666664,275.75555555555553,500.0,137.9327515516793
3,3,129.66666666666666,369.67777777777775,500.0,135.56669762951682
4,4,128.66666666666666,465.6333333333333,500.0,94.7874952684122
5,5,128.66666666666666,487.6,500.0,66.65235401916648
6,6,500.0,500.0,500.0,0.0
7,7,500.0,500.0,500.0,0.0
8,8,500.0,500.0,500.0,0.0
9,9,500.0,500.0,500.0,0.0
10,10,121.33333333333333,487.3777777777778,500.0,67.97274689894219
