gen,gen,min,avg,max,std
0,0,9.5,89.85714285714286,300.5,104.03869962859092
1,1,10.5,132.42857142857142,500.0,158.7800429550777
2,2,10.5,139.71428571428572,500.0,155.62520387659788
3,3,17.5,168.14285714285714,500.0,147.38232940352168
4,4,93.5,257.07142857142856,500.0,159.30595643321703
5,5,93.5,287.42857142857144,500.0,148.45572417665923
6,6,104.0,303.2857142857143,500.0,142.92252075434266
7,7,104.0,303.2857142857143,500.0,142.92252075434266
8,8,104.0,321.5,500.0,132.5904004282146
9,9,104.0,321.5,500.0,132.5904004282146
10,10,215.0,378.07142857142856,500.0,110.33404751397606
11,11,215.0,383.42857142857144,500.0,107.18156443671663
12,12,215.0,385.0,500.0,106.36896701038862
13,13,215.0,385.0,500.0,106.36896701038862
14,14,215.0,385.0,500.0,106.36896701038862
