gen,gen,min,avg,max,std
0,0,8.714285714285714,66.35238095238095,411.85714285714283,102.93062013977315
1,1,8.857142857142858,89.0761904761905,321.42857142857144,91.54670740768456
2,2,9.428571428571429,165.85238095238097,500.0,131.77906930380092
3,3,35.142857142857146,211.74761904761908,500.0,134.4521394417118
4,4,30.0,292.1714285714286,500.0,127.06946196181563
5,5,89.28571428571429,319.8190476190476,500.0,127.92804596065187
6,6,88.85714285714286,380.88571428571424,500.0,107.50322507422995
7,7,321.42857142857144,463.5047619047618,500.0,71.09709499058152
8,8,223.14285714285714,490.77142857142854,500.0,49.697378077269846
9,9,147.57142857142858,488.2523809523809,500.0,63.262864662861055
10,10,500.0,500.0,500.0,0.0
11,11,500.0,500.0,500.0,0.0
12,12,500.0,500.0,500.0,0.0
13,13,500.0,500.0,500.0,0.0
14,14,500.0,500.0,500.0,0.0
15,15,500.0,500.0,500.0,0.0
