gen,gen,min,avg,max,std
0,0,9.333333333333334,131.54666666666665,500.0,125.21753089900969
1,1,9.333333333333334,153.27999999999997,500.0,127.64035168306995
2,2,9.333333333333334,243.2133333333333,500.0,143.2708043453996
3,3,46.666666666666664,252.03999999999996,500.0,132.53290811467667
4,4,46.666666666666664,284.18666666666667,500.0,146.31643273702682
5,5,46.666666666666664,331.5333333333333,500.0,150.7421344916912
6,6,46.666666666666664,324.57333333333327,500.0,148.40959897077636
7,7,164.33333333333334,383.7200000000001,500.0,86.74128480077346
8,8,338.3333333333333,396.53333333333336,500.0,77.6
9,9,338.3333333333333,415.9333333333333,500.0,80.76864077928596
