gen,gen,min,avg,max,std
0,0,8.666666666666666,51.28333333333334,486.3333333333333,104.69093534993583
1,1,9.333333333333334,118.28333333333333,423.6666666666667,92.55522525618001
2,2,18.666666666666668,201.08333333333334,500.0,158.26728008165313
3,3,9.666666666666666,140.11666666666665,500.0,101.1060100972132
4,4,99.33333333333333,235.1833333333333,500.0,156.25166576889848
5,5,19.666666666666668,361.71666666666664,500.0,182.94183274108374
6,6,41.666666666666664,380.1,500.0,180.1177115111115
7,7,75.33333333333333,415.41666666666663,500.0,160.82916661269292
8,8,94.66666666666667,459.4666666666666,500.0,121.6
9,9,9.666666666666666,389.7833333333333,500.0,191.61956740142986
10,10,9.666666666666666,440.4,500.0,139.08013677173471
11,11,9.666666666666666,407.3,500.0,162.60828528843308
12,12,9.666666666666666,370.9166666666667,500.0,186.27968443534934
13,13,9.666666666666666,360.5166666666667,500.0,189.03889884829994
14,14,145.66666666666666,400.03333333333336,500.0,153.73443552654905
15,15,48.0,379.2166666666667,500.0,186.06573733793954
16,16,27.333333333333332,392.8,500.0,187.01843046430832
17,17,9.333333333333334,425.3833333333334,500.0,152.79624322752326
18,18,17.0,451.7,500.0,144.9
19,19,9.333333333333334,429.3666666666667,500.0,168.33171286348738
20,20,12.0,408.3833333333333,500.0,166.18294052706557
