gen,gen,min,avg,max,std
0,0,9.333333333333334,78.38333333333333,264.0,87.28047223367513
1,1,28.0,134.13333333333333,264.0,87.3102004986308
2,2,55.333333333333336,192.90000000000003,500.0,115.84808539155445
3,3,55.333333333333336,229.6166666666667,500.0,139.18737470682385
4,4,138.66666666666666,301.41666666666663,500.0,160.95488929786785
5,5,138.66666666666666,283.68333333333334,500.0,161.06742808180954
6,6,138.66666666666666,296.5833333333333,500.0,167.64568705722462
7,7,138.66666666666666,305.0,500.0,161.572824997825
8,8,138.66666666666666,291.66666666666663,500.0,170.98771885723258
9,9,138.66666666666666,278.15,500.0,163.67649240702423
10,10,138.66666666666666,313.2833333333333,500.0,171.74018733087618
11,11,138.66666666666666,355.0833333333333,500.0,163.14369518243046
12,12,138.66666666666666,325.5,500.0,160.6488406431867
13,13,138.66666666666666,387.78333333333336,500.0,153.75367294619159
14,14,138.66666666666666,441.8499999999999,500.0,113.75228813327473
