gen,gen,min,avg,max,std
0,0,8.666666666666666,56.9,375.3333333333333,92.45570110418646
1,1,9.666666666666666,159.50000000000003,407.6666666666667,114.6492477079549
2,2,10.0,243.96666666666664,448.0,134.37538216999917
3,3,124.0,308.7833333333333,448.0,107.98576423667046
4,4,24.0,289.3833333333333,448.0,137.491263358804
5,5,27.0,292.66666666666663,448.0,141.29398037032183
6,6,41.666666666666664,346.58333333333337,448.0,129.53566111306955
7,7,9.0,347.9,448.0,146.97573873866997
8,8,29.0,376.6,448.0,111.94743806308784
9,9,36.666666666666664,380.1666666666667,448.0,98.18630250701979
10,10,161.33333333333334,384.6333333333333,448.0,83.42534253916958
11,11,167.33333333333334,406.25,448.0,69.13520368733202
12,12,351.6666666666667,440.3166666666667,500.0,46.23640641072549
13,13,70.33333333333333,396.33333333333337,500.0,146.1080650295071
14,14,99.66666666666667,402.8666666666667,500.0,134.105572011175
15,15,184.33333333333334,454.0333333333334,500.0,80.95203655388926
