gen,gen,min,avg,max,std
0,0,9.0,16.15,98.33333333333333,20.184007695863244
1,1,9.0,99.8,500.0,137.70606377353178
2,2,9.333333333333334,151.16666666666669,500.0,139.59697943246002
3,3,97.33333333333333,314.5,500.0,174.66553752815696
4,4,10.666666666666666,360.53333333333336,500.0,174.82459145605853
5,5,10.0,399.2333333333333,500.0,170.90979102048738
6,6,97.33333333333333,448.0,500.0,126.46527850230936
7,7,97.33333333333333,479.8666666666667,500.0,87.7591653966189
8,8,461.3333333333333,498.0666666666666,500.0,8.427204624178641
9,9,500.0,500.0,500.0,0.0
10,10,500.0,500.0,500.0,0.0
11,11,38.0,455.9833333333333,500.0,132.23037451525443
12,12,81.66666666666667,459.5,500.0,121.57313756656022
13,13,9.333333333333334,475.4666666666666,500.0,106.93832074819785
14,14,500.0,500.0,500.0,0.0
15,15,9.666666666666666,475.4833333333334,500.0,106.86567243247217
