gen,gen,min,avg,max,std
0,0,10.333333333333334,54.66666666666667,86.0,26.89816185376077
1,1,10.333333333333334,54.66666666666667,86.0,26.89816185376077
2,2,10.333333333333334,54.66666666666667,86.0,26.89816185376077
3,3,10.333333333333334,101.93333333333332,294.3333333333333,99.87578952545672
4,4,10.333333333333334,121.66666666666667,294.3333333333333,95.74665645453224
5,5,39.0,127.4,294.3333333333333,89.56720630032201
6,6,86.0,166.2,294.3333333333333,78.7822879135208
7,7,86.0,166.2,294.3333333333333,78.7822879135208
8,8,86.0,211.66666666666666,367.3333333333333,109.91350134436523
9,9,86.0,211.66666666666666,367.3333333333333,109.91350134436523
10,10,86.0,211.66666666666666,367.3333333333333,109.91350134436523
11,11,86.0,211.66666666666666,367.3333333333333,109.91350134436523
12,12,86.0,211.66666666666666,367.3333333333333,109.91350134436523
13,13,86.0,267.93333333333334,376.6666666666667,107.95068833088148
14,14,86.0,292.6,500.0,139.46794135810086
