gen,gen,min,avg,max,std
0,0,8.666666666666666,79.90000000000002,500.0,131.21915933954833
1,1,9.0,105.05,500.0,143.71999300337058
2,2,9.666666666666666,128.5,500.0,149.13075917909538
3,3,9.666666666666666,143.38333333333335,500.0,145.58595303882248
4,4,9.666666666666666,185.13333333333333,500.0,145.21177638194501
5,5,9.666666666666666,227.58333333333334,500.0,149.41373858443467
6,6,9.666666666666666,237.33333333333331,500.0,142.35230162444785
7,7,53.333333333333336,279.7666666666667,500.0,134.9952303684179
8,8,53.333333333333336,293.2333333333334,500.0,146.5343759441222
9,9,53.333333333333336,321.85,500.0,136.68347356006302
