gen,gen,min,avg,max,std
0,0,9.333333333333334,64.43333333333332,123.0,37.27854610898875
1,1,25.666666666666668,89.03333333333333,218.0,52.72811815762483
2,2,25.666666666666668,97.16666666666667,196.33333333333334,59.4278741183144
3,3,26.666666666666668,113.96666666666667,196.33333333333334,58.11740033950437
4,4,82.0,183.83333333333331,300.6666666666667,54.050233836476394
5,5,16.0,175.13333333333333,361.6666666666667,95.95962113768942
6,6,9.666666666666666,147.76666666666668,300.6666666666667,90.26209368032386
7,7,42.666666666666664,204.60000000000002,398.6666666666667,128.8121629867822
8,8,9.666666666666666,143.03333333333336,398.6666666666667,106.33035001039607
9,9,9.666666666666666,187.9,427.3333333333333,166.28109066009614
10,10,30.333333333333332,173.2,427.3333333333333,132.81768623860972
11,11,26.666666666666668,159.53333333333336,427.3333333333333,137.5942666764216
12,12,9.666666666666666,100.16666666666666,182.66666666666666,43.418442062228706
13,13,66.0,129.2,199.0,47.430697982541965
14,14,17.0,105.9,182.66666666666666,60.86251354943826
15,15,8.666666666666666,68.03333333333333,163.0,48.61057269543096
