gen,gen,min,avg,max,std
0,0,9.666666666666666,55.97777777777777,500.0,120.89827169469973
1,1,10.0,106.24444444444444,500.0,113.5954789571582
2,2,10.0,128.55555555555557,500.0,103.77551746289373
3,3,77.0,159.0888888888889,500.0,95.51346359752148
4,4,35.0,189.24444444444444,500.0,126.53077310761158
5,5,31.333333333333332,175.91111111111113,500.0,132.14125251897664
6,6,10.666666666666666,119.88888888888889,207.0,49.66549837054957
7,7,102.0,196.8222222222222,445.6666666666667,103.93344499079362
8,8,34.0,209.5777777777778,445.6666666666667,127.11735415904101
9,9,10.333333333333334,174.3777777777778,416.6666666666667,135.54946434401953
10,10,15.0,248.08888888888887,416.6666666666667,159.72204869555793
