gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,8.333333333333334,0.17319433251590804,27.716666666666676,0.2855117949981669,92.66666666666667,0.8772074471954605,26.702741224243045,0.2488297595040722
1,1,8.333333333333334,0.29914932417892875,32.71666666666667,0.5526418333279635,127.33333333333333,0.8772074471954605,32.83667918654382,0.24460474852258113
2,2,8.333333333333334,0.3999524479986044,44.28333333333333,0.6601265320946583,161.0,0.8772074471954605,42.205354452301954,0.17440558032223946
3,3,9.0,0.3999524479986044,42.95,0.7394143221806015,95.0,0.8772074471954605,35.19710767788866,0.0988873558171018
4,4,10.0,0.2862694745044452,65.13333333333333,0.7365794234652406,185.0,0.8772074471954605,44.39124037715349,0.1574139729821686
5,5,9.333333333333334,0.30136110469568467,56.48333333333333,0.7500401217649859,185.0,0.8772074471954605,45.9980041837566,0.15905936316740438
6,6,9.0,0.29025946302401695,38.93333333333333,0.7448190861737943,185.0,0.8772074471954605,43.95598808909757,0.19237618380819252
7,7,10.0,0.7044257301158002,57.083333333333336,0.809893003671554,185.0,0.8772074471954605,56.90146209798909,0.060182514143736925
8,8,10.0,0.6854888547105362,44.88333333333334,0.8295603071061372,185.0,0.8772074471954605,55.95318231442347,0.057267495696170914
9,9,8.333333333333334,0.5448679904588987,44.333333333333336,0.8116683794345445,185.0,0.8772074471954605,55.68233312480919,0.09886804640697372
10,10,10.0,0.5459754263082679,21.116666666666667,0.8423153471093844,78.66666666666667,0.8772074471954605,22.383345743357197,0.07518285161656806
11,11,10.0,0.5758192706422601,22.5,0.818552810048397,88.0,0.8772074471954605,22.60739800252219,0.07759893999861964
12,12,9.0,0.4093243755319712,22.2,0.7839671001422949,88.0,0.8772074471954605,27.668955728597908,0.11090816927039479
13,13,10.0,0.7034497628495664,32.5,0.8044826291998382,93.66666666666667,0.8772074471954605,34.219958438834425,0.07156327590741285
14,14,9.0,0.7085406556425344,29.06666666666667,0.8294378764328535,93.66666666666667,0.8772074471954605,31.380390196568445,0.05243366128026428
15,15,9.0,0.671540727827007,18.28333333333333,0.7809510953985652,88.0,0.8772074471954605,21.303696862281907,0.09139679000186379
