gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-710.1184747011124,0.006536597315373628,-430.91366156613077,0.4495025007014773,-26.693946175665932,0.9049650933029249,169.26655393212556,0.20104039572598228
1,1,-684.0165093135183,0.09383010320302769,-406.0797886361555,0.4181115325364663,-103.9982381954677,0.7436115419226588,182.46968656204538,0.19378118507331746
2,2,-916.5124444896719,-0.16931168483327538,-400.03201014861634,0.4462668853361557,-50.838938304647534,0.8736730225655913,200.74575192062184,0.25877750710762626
3,3,-639.1459273304415,0.38797345550726203,-380.98031154767966,0.5618591606711965,-49.25319554542267,0.852760612138347,151.60376323058546,0.13814270552522193
4,4,-661.8428744467536,0.06219924687088042,-403.6121603497555,0.3904623122202804,85.36937824370409,1.0786724488805215,162.62627429307284,0.23242953111309456
5,5,-704.374629381362,-0.048722824487850515,-414.3885548046621,0.3311250297017564,-103.25892003374753,0.689220079772633,179.5464627436578,0.2117294431933069
6,6,-686.7595880025382,0.055258632706352874,-441.2075254891855,0.42794248570999327,-131.43022737816514,0.9094990984458509,161.681762538277,0.24983988071804944
7,7,-674.4726477517743,0.042848416627869174,-416.92610298629387,0.4765026541199031,-106.52079130044585,0.9911366490855922,182.66778405228274,0.30807032065665857
8,8,-725.790924880832,-0.06851827600845535,-386.22828676852885,0.5006757065155573,67.05955644077285,1.2699873747041148,168.6472619701427,0.2825588954050336
9,9,-843.1827101777573,-0.13478418378554774,-401.3152406777063,0.4057556695300332,-78.89332699163258,0.8011508889855503,192.48550720394007,0.23282723163989716
10,10,-709.7110112397282,0.1789423499227482,-432.908254817952,0.531050216867458,-68.2303136227654,0.9895976555108119,161.66508303670255,0.2042117729524841
11,11,-799.0582893795669,-0.12962384273807193,-448.0393022357052,0.4062428563279511,-127.84905690800123,0.8911080788068122,182.03314130185447,0.2775126324101348
12,12,-658.4606804665408,0.20866060181892504,-445.90397589484166,0.5223946481592842,-124.15806924123638,0.9964675093134782,148.2479278197114,0.21796266660147082
13,13,-679.0578641342032,-0.025888254523320164,-423.8301007710494,0.43828323728393537,-66.0380698062495,1.1011300447596943,162.01054768043502,0.2982770272037063
14,14,-719.6828732058615,-0.06514986754575527,-410.6660711666544,0.4366296648944378,-63.88941975578846,0.9946946477851294,162.50820846205144,0.2620012224708482
