gen,gen,min,avg,max,std
0,0,-663.2885121103815,-339.5841945110188,-143.33482574909775,129.7473602326211
1,1,-558.361271236132,-286.3339121676893,-64.05476990042563,150.7858625785327
2,2,-546.7749032009153,-277.18184766481795,-14.632384430216385,147.2016040895455
3,3,-546.7749032009153,-248.93940488170972,-66.16806516762455,137.56932231375836
4,4,-419.4876651407447,-189.49025276716202,-66.16806516762455,107.15635364869175
5,5,-419.4876651407447,-176.45801034407873,-65.62023371732514,99.07972248791629
6,6,-419.4876651407447,-139.7102101881342,-2.670919999643535,77.65984040434194
7,7,-402.53807369800757,-139.40231380692018,-66.16806516762455,78.87124266514172
8,8,-402.53807369800757,-135.00556440386313,-53.4076051754702,77.17661284545441
9,9,-402.53807369800757,-117.88125486929326,-53.4076051754702,70.47832206548993
10,10,-402.53807369800757,-121.23986255734229,-53.4076051754702,74.02023535078132
11,11,-402.53807369800757,-110.46290580648628,-20.869926228254005,71.73256350429715
12,12,-381.17232692172973,-107.13884784305965,-20.869926228254005,83.63186426550858
13,13,-343.93708489798837,-104.79742292407593,30.82448072487276,85.45387466488926
14,14,-343.93708489798837,-119.75366842242427,30.82448072487276,99.7383705839806
15,15,-343.93708489798837,-101.41017124345342,30.82448072487276,95.3417145087892
16,16,-343.93708489798837,-81.04456233232806,30.82448072487276,80.70701239168943
17,17,-341.39106834489024,-73.49167889868275,30.82448072487276,75.05417384144546
18,18,-341.39106834489024,-66.06946265263078,30.82448072487276,64.14329084652223
19,19,-341.39106834489024,-63.67379744763688,30.82448072487276,66.21468973315193
20,20,-341.39106834489024,-45.83068443791603,30.82448072487276,58.972121015495325
21,21,-87.71690478967021,-31.61442621778143,30.82448072487276,45.992292048096076
22,22,-87.71690478967021,-13.889767174974915,30.82448072487276,47.65971799268906
23,23,-87.71690478967021,-10.064774445885071,43.92943526406526,47.80620163747796
24,24,-87.71690478967021,-8.60191653893353,43.92943526406526,46.788876561955945
25,25,-87.71690478967021,-18.778376018207947,48.36470248492699,51.01858415513572
26,26,-87.71690478967021,-12.056302019604619,43.92943526406526,51.604597146451944
27,27,-87.71690478967021,-3.4743194377562934,43.92943526406526,50.70728423745515
28,28,-87.71690478967021,8.611417908262274,47.605524274669136,47.3085464895513
29,29,-87.71690478967021,1.614290821632697,49.34808254933021,49.3685453632779
30,30,-87.71690478967021,4.767862423354529,49.34808254933021,49.82209357476866
31,31,-66.16806516762455,25.24852757780385,49.34808254933021,35.5976012056417
32,32,-57.52460763745785,30.45179080091186,56.90565811427228,32.06964955907706
33,33,-57.52460763745785,30.26858660106759,59.528555229510964,31.04848208071384
34,34,-57.52460763745785,33.5915674192526,59.528555229510964,25.926585619479194
35,35,-57.52460763745785,42.064674175424315,59.528555229510964,16.041615175031033
36,36,-57.52460763745785,40.23808313159853,59.528555229510964,21.42648881741008
37,37,30.82448072487276,46.50136449515244,59.528555229510964,8.859355573724843
38,38,30.82448072487276,46.306395406423796,59.528555229510964,8.059093143738462
39,39,30.82448072487276,49.36741707681267,59.528555229510964,6.60000557178837
40,40,30.82448072487276,49.69801437284933,59.528555229510964,6.713651181248398
41,41,30.82448072487276,52.29405623869287,59.528555229510964,6.2809552319516255
42,42,30.82448072487276,53.15655919083439,61.10224447509723,5.602995145374018
43,43,30.82448072487276,53.57518310677129,61.10224447509723,5.91782475181269
44,44,30.82448072487276,54.51397856412345,61.10224447509723,5.731779866211055
45,45,49.06952226146107,55.0688498569503,62.5051993614372,4.753714219052536
46,46,49.06952226146107,57.04911916434671,63.65230702387464,4.153204896027402
47,47,49.06952226146107,57.76362989381213,64.36624972601315,4.547156409938437
48,48,49.06952226146107,58.50943324143209,64.36624972601315,3.8273489546831416
49,49,49.06952226146107,57.80397275878116,63.65230702387464,4.521897986877778
50,50,49.06952226146107,58.91696749092264,63.65230702387464,3.5169632320360082
51,51,49.06952226146107,60.165720851024545,63.65230702387464,4.186132866736237
52,52,50.50539040626052,61.12689010585868,63.65230702387464,3.7227793070660096
53,53,50.50539040626052,60.759556581179055,63.65230702387464,3.6553192222650672
54,54,50.50539040626052,61.047806074225576,65.0746961476849,3.686482569479691
55,55,50.50539040626052,60.454509447730786,65.0746961476849,4.680058824907912
56,56,50.50539040626052,61.69700131929417,67.13310445767131,4.489850576191441
57,57,50.50539040626052,62.0990447196528,66.82270844545475,4.303049322913385
58,58,50.50539040626052,62.440186267286656,66.82270844545475,4.336142285102499
59,59,50.50539040626052,62.561382146383615,67.0325389624191,4.175680075212552
