gen,gen,min,avg,max,std
0,0,-715.151696176285,-403.72756472416944,-27.603514395932095,178.68582628552346
1,1,-577.6539153202684,-249.76811613212018,-27.603514395932095,131.80251774866076
2,2,-397.5749357942697,-157.42109010786902,-27.603514395932095,69.69251404889278
3,3,-476.78887221635205,-128.38659713153191,-27.603514395932095,54.618877232272396
4,4,-140.99601871978595,-105.06467087854412,-27.603514395932095,30.888996218378523
5,5,-266.89931914379446,-99.47098724487098,-27.603514395932095,40.914301479103536
6,6,-162.94356835575994,-78.76830960659137,-27.603514395932095,38.79512688539096
7,7,-173.23183121155935,-57.792603857250946,-27.603514395932095,38.23161643725561
8,8,-513.2446847548703,-55.086166367711584,-27.603514395932095,78.5655213438154
9,9,-294.30273991285065,-35.743637405223204,-11.26674052190009,36.54590396179245
10,10,-409.4481572555814,-32.59167289752617,-11.26674052190009,45.44971960863439
11,11,-27.603514395932095,-27.13674942810261,-11.26674052190009,2.721684073612747
12,12,-27.603514395932095,-26.669984460273124,-11.26674052190009,3.7920165245854114
13,13,-165.85427288205034,-27.944847844044872,-11.26674052190009,17.30951344107369
14,14,-27.603514395932095,-25.269689556784673,-11.26674052190009,5.716680004944228
15,15,-27.603514395932095,-24.102777137210953,-11.26674052190009,6.703401497264473
