gen,gen,min,avg,max,std
0,0,-588.0387474130482,-301.1826661422133,-120.39408921487087,154.07814801309965
1,1,-495.8324760995867,-206.07950304967522,-120.39408921487087,101.29877979999948
2,2,-441.2574062058596,-212.61262714510954,-120.39408921487087,102.54203234972918
3,3,-441.2574062058596,-187.96745830818378,-117.15747645777185,89.9475294363523
4,4,-410.4913097232963,-156.85157613269425,-89.53697795308638,43.267965041769976
5,5,-410.4913097232963,-146.32513516631707,-30.626322394118844,51.904485786223056
6,6,-190.89116379415475,-132.3632091873414,-30.626322394118844,42.482191415159335
7,7,-190.89116379415475,-131.88153508474053,-30.626322394118844,36.61993015162289
8,8,-159.63975277919587,-133.63168612382745,-30.626322394118844,27.214477550066544
9,9,-161.7853662195628,-134.55760255290116,-117.15747645777185,14.482663444561027
10,10,-158.4205723746993,-130.7026527147022,-97.48585707707313,13.694164006025211
11,11,-190.89116379415475,-133.5309215889559,-117.15747645777185,15.686704800546735
12,12,-190.89116379415475,-133.7070277748277,-112.56354587733271,17.149149343371
13,13,-190.89116379415475,-134.15106259594478,-108.9741152369884,23.930563444279613
14,14,-190.89116379415475,-126.65705195874799,-37.9210161196688,33.38194224418663
15,15,-190.89116379415475,-134.34741812618216,-74.1268481588824,31.382511234608362
16,16,-441.2574062058596,-162.97565038653278,-56.28556073201455,88.9803410969538
17,17,-441.2574062058596,-145.25511482793763,-56.28556073201455,57.30222789907813
18,18,-226.50795219663087,-133.10029084372803,-56.28556073201455,40.74180310059402
19,19,-190.89116379415475,-128.18550732019375,-56.28556073201455,29.452853867312058
20,20,-190.89116379415475,-125.46326300388023,-61.20388069618153,29.74856687059033
21,21,-211.14752953897425,-128.99930685132804,-61.20388069618153,24.424938440215374
22,22,-162.3023761266237,-129.444847433707,-74.1268481588824,20.738828406521627
23,23,-162.3023761266237,-121.8535955046805,-74.1268481588824,23.116029736985915
24,24,-149.9847598362842,-127.22178911344695,-74.1268481588824,18.81586247392652
25,25,-150.70444583273036,-123.74172206033693,-74.1268481588824,19.694705897290333
26,26,-150.70444583273036,-122.95845820823233,-85.52550269009909,20.01457243329211
27,27,-150.70444583273036,-124.54002781911304,-85.52550269009909,17.506638810362755
28,28,-150.70444583273036,-107.85654519336155,-19.36378665899133,35.392143591207656
29,29,-150.70444583273036,-115.22111962553598,-19.36378665899133,27.458624662223585
30,30,-158.4205723746993,-109.880607471706,-8.271793806421499,36.36289542321738
31,31,-158.4205723746993,-118.5581201250598,-19.36378665899133,29.670980689940603
32,32,-154.63210632826892,-110.35411597192487,-19.36378665899133,25.87262756827134
33,33,-154.63210632826892,-113.07993560861678,-19.36378665899133,27.72359257759307
34,34,-136.10946439983442,-105.22353228168645,-3.3626576965080965,29.247834399892476
35,35,-136.10946439983442,-110.317380855096,-41.97578469887851,25.996008031379034
36,36,-136.10946439983442,-104.56205857447485,36.387239436368795,36.21639445586998
37,37,-190.89116379415475,-102.57622874863254,36.387239436368795,53.45406277902278
38,38,-190.89116379415475,-96.8618104320212,36.387239436368795,54.715260485513696
39,39,-190.89116379415475,-88.41647763884075,36.387239436368795,64.3342709756202
40,40,-190.89116379415475,-88.4071537668279,39.53546606932384,63.96944385207578
41,41,-190.89116379415475,-80.6258401947138,39.53546606932384,62.70841846024948
42,42,-151.54859924063194,-72.55614031709244,39.53546606932384,58.8959377045626
43,43,-190.89116379415475,-72.11137680227702,39.53546606932384,68.75784114610936
44,44,-178.2544598870878,-49.34956786987131,39.53546606932384,71.90988170742663
45,45,-150.70444583273036,-46.92167067178843,39.53546606932384,69.83191451581584
46,46,-150.70444583273036,-46.82746851184852,39.53546606932384,68.13869564727369
47,47,-117.15747645777185,-45.091358784491,39.53546606932384,67.6324257027416
48,48,-117.15747645777185,-46.14657303386414,81.84132465157371,71.24375190327002
49,49,-117.15747645777185,-46.86041642026994,79.42827083363962,73.22291064728066
50,50,-135.5667746648451,-41.80686247200375,79.42827083363962,67.46928155746414
51,51,-135.5667746648451,-41.68990152827115,82.18626768989428,67.5374249770046
52,52,-149.9847598362842,-58.461506234988065,59.062140399298634,64.366800043785
53,53,-149.9847598362842,-44.59764667137004,59.062140399298634,67.85489496615342
54,54,-149.9847598362842,-46.897970944181026,59.062140399298634,69.69614836100976
55,55,-269.74777520382025,-71.05689757289603,59.062140399298634,80.58574035153792
56,56,-269.74777520382025,-81.26260667333945,59.062140399298634,81.35660788107299
57,57,-269.74777520382025,-64.25644691271808,84.44488874330561,103.93728355914801
58,58,-269.74777520382025,-79.20445226336896,84.44488874330561,95.65861096874087
59,59,-269.74777520382025,-54.27429458419842,84.44488874330561,106.25632833053446
