gen,gen,min,avg,max,std
0,0,-666.2595082659102,-345.6110844865129,-60.45472646136201,165.98421598378587
1,1,-509.25583883578435,-210.6256755399963,-60.45472646136201,103.9886361489512
2,2,-302.7571790413647,-132.8580797625646,-15.126397188935998,49.69426740603293
3,3,-348.5045065444133,-102.94960422420091,65.21324772767632,62.200213705482795
4,4,-213.8063590400662,-56.397431271796556,65.21324772767632,60.392968137869254
5,5,-175.92083924978738,-33.79175688445285,65.21324772767632,60.53174496608412
6,6,-280.1637125461031,3.948114357241555,65.21324772767632,67.9572231819659
7,7,-53.749017982732205,37.25518096625385,79.31824106179442,32.234883269150956
8,8,-27.486714293950342,56.3341207503357,79.31824106179442,21.282768190675142
9,9,40.64920737711787,67.13152810408798,79.31824106179442,7.104785634217228
10,10,65.21324772767632,69.64111740922586,86.19124990778722,6.853358883389442
11,11,-79.16783535807859,70.72339842679217,86.19124990778722,19.541982691610468
12,12,65.21324772767632,78.24223879713557,88.88504587903155,6.978698799127788
13,13,79.31824106179442,84.21581264921896,92.78894401444552,4.171625525912746
14,14,81.88066686713199,88.62187374019184,96.13008103163689,3.41276946938264
15,15,85.23028757715417,91.62316266419133,96.13008103163689,3.0703409646927815
