gen,gen,min,avg,max,std
0,0,-661.964935958994,-357.43686502804934,-84.51017647361219,177.34961192447412
1,1,-597.3427678115423,-305.3539957436388,-84.51017647361219,156.18016515658746
2,2,-548.3321464602741,-247.49232381212693,-84.51017647361219,118.81004575971583
3,3,-548.3321464602741,-226.14888046075302,-62.84715389861949,121.11386427100084
4,4,-548.3321464602741,-212.75059633956545,-53.846711779737554,114.6603187802331
5,5,-548.3321464602741,-192.10143834002812,-53.846711779737554,105.87173375326934
6,6,-473.35250863037436,-180.21791347204953,-19.120117546415003,92.34293963956402
7,7,-473.35250863037436,-173.65093473913424,-19.120117546415003,88.52529790209007
8,8,-473.35250863037436,-156.00007232143494,-19.120117546415003,82.61751573771267
9,9,-473.35250863037436,-153.50119797661415,-19.120117546415003,84.44651237278337
10,10,-377.01688038618937,-139.2723472326564,-19.120117546415003,67.2891464563068
11,11,-377.01688038618937,-136.14246684742534,-19.120117546415003,64.62170087515852
12,12,-377.01688038618937,-136.11399345841482,-19.120117546415003,64.62004579295875
13,13,-377.01688038618937,-135.65417402119883,-19.120117546415003,64.25057254759034
14,14,-377.01688038618937,-124.6888288201864,-19.120117546415003,63.63450753515646
15,15,-377.01688038618937,-120.39098710415333,-19.120117546415003,64.37459091281922
16,16,-377.01688038618937,-118.3564743726228,-19.120117546415003,65.2389325325865
17,17,-377.01688038618937,-114.68757391356942,-19.120117546415003,62.49836464361975
18,18,-377.01688038618937,-110.11033317777496,-19.120117546415003,62.185676050732916
19,19,-377.01688038618937,-103.83229939947765,10.685367291547914,63.93719542422031
20,20,-377.01688038618937,-100.64688918386825,10.685367291547914,66.3878919456878
21,21,-377.01688038618937,-98.63638439657637,10.685367291547914,67.88567139763627
22,22,-377.01688038618937,-98.63638439657637,10.685367291547914,67.88567139763627
23,23,-377.01688038618937,-97.11636817919324,10.685367291547914,68.26257056581692
24,24,-377.01688038618937,-97.11636817919324,10.685367291547914,68.26257056581692
25,25,-377.01688038618937,-94.54866013641518,10.685367291547914,67.22642450388959
26,26,-377.01688038618937,-89.92753577546083,10.685367291547914,69.34270993761824
27,27,-377.01688038618937,-79.54482454637541,47.55045759022162,76.07247547938294
28,28,-377.01688038618937,-79.54482454637541,47.55045759022162,76.07247547938294
29,29,-377.01688038618937,-78.27921329720166,47.55045759022162,75.29699329481633
30,30,-291.53691307956086,-76.14221411453595,47.55045759022162,67.60870323560572
31,31,-291.53691307956086,-69.70174351394289,75.62948484494468,70.69811280486773
32,32,-246.6836347907259,-68.5785126408693,75.62948484494468,67.44689161084722
33,33,-246.6836347907259,-67.27784714591584,75.62948484494468,69.43523798241475
34,34,-246.6836347907259,-66.10498928804745,75.62948484494468,68.34459906671559
