gen,gen,min,avg,max,std
0,0,-711.5847622975234,-430.9563296671384,-43.758824186302895,176.3729733949317
1,1,-543.4865735844222,-245.7262336183574,-43.758824186302895,139.06790151294646
2,2,-443.18193147355515,-141.56518626832474,-22.09838060726589,92.99344509644743
3,3,-282.7925551391866,-91.3145567740434,-6.542079447670592,56.85124661575324
4,4,-419.57205099866616,-78.592306785943,-22.09838060726589,64.83650146139735
5,5,-484.7203677619316,-62.386564409084116,-22.09838060726589,62.59445836665445
6,6,-147.59714080246425,-45.040379719666625,-22.09838060726589,23.16546591136155
7,7,-435.4129602854907,-49.62758359284554,-21.520515505707863,73.83033749902975
8,8,-482.9674202763165,-39.50439266143047,-21.520515505707863,65.55891238836092
9,9,-43.758824186302895,-24.260949247825547,-21.520515505707863,5.4716683195079225
10,10,-33.84728530025279,-22.264014888938664,-21.520515505707863,1.6653443738471565
11,11,-22.09838060726589,-21.754750104865547,-11.85123670594506,1.436015312819227
12,12,-22.09838060726589,-21.183062120376466,-11.85123670594506,2.374041312810787
13,13,-65.14601274678766,-21.07399832465615,-11.85123670594506,7.139582034912598
14,14,-21.520515505707863,-18.426346289783766,-11.85123670594506,4.510487963141152
15,15,-21.520515505707863,-17.65280398580274,-11.85123670594506,4.736959848025965
16,16,-21.520515505707863,-13.231704811379876,9.901729360291299,6.693303578194733
17,17,-90.68223873701182,-11.343711405771352,9.901729360291299,13.606063197919328
18,18,-11.85123670594506,-4.719882600721666,20.53753904405819,9.950985790112117
19,19,-11.85123670594506,2.860372276961005,20.53753904405819,11.53071361480161
20,20,-11.85123670594506,11.633420535112489,32.16797575678928,11.880146023097433
21,21,-66.03955428564011,17.14502398364523,32.16797575678928,14.075018585749486
22,22,1.3200502867579569,25.772660237528154,94.79372282981062,12.492266855748035
23,23,21.635852980198404,35.126178705632626,85.25352894998348,13.675734308068437
24,24,23.36726085144295,45.78982807718382,85.25352894998348,15.374617272719519
25,25,26.06330655562223,54.24566424487882,85.25352894998348,17.013685322936947
