gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-819.5242414683917,0.21135284005484234,-418.774869346822,0.2948736262477138,-16.796606128492783,0.5206557109296737,193.4513888320955,0.09012570928314609
1,1,-673.8705559065256,0.17759696166570274,-364.80249823719157,0.26304983451650943,16.66895855281631,0.5332441336510146,218.31577568444328,0.09822307770126067
2,2,-644.4254569514002,0.21745879361481385,-376.13620361548163,0.2942101056662152,-53.961978638164034,0.525727456390691,189.14453199773885,0.07873706876473584
3,3,-719.82767038899,0.2173755819714151,-382.4444832139401,0.2957928635155197,-29.83370189753713,0.5203023480375449,216.72296770858676,0.07807709912096139
4,4,-644.9019165036278,0.21745233370401323,-421.8028810534664,0.3081588247866674,-20.614209099196803,0.4971235493389246,183.24664634755007,0.0874946158606666
5,5,-692.9936647456694,0.18341247622200607,-383.09447847088387,0.26709877153044737,-44.27604406935435,0.5179332643656671,212.32037305469126,0.09820967868490306
6,6,-654.3612500745929,0.2242605545619057,-424.5472037311785,0.31169762694830816,7.946446783414136,0.49143274113518176,197.99436780401035,0.08460886870652344
7,7,-689.248155467823,0.2174981509612599,-432.3758481078118,0.2957697207572183,-63.00901956016526,0.4986279372361791,208.72405956744188,0.07656553230361941
8,8,-884.1841857193375,0.18132579680055944,-408.31652988456284,0.2587045057091404,-64.65583184229045,0.5070853984463353,199.55952071323654,0.0862100893343856
9,9,-861.6352146896306,0.22596634566054447,-487.82862279038983,0.29390212619531975,-65.14601274678766,0.5219322211769756,158.19158832985102,0.07623658299482367
10,10,-726.3254550763501,0.21385339930416905,-402.2503909670933,0.2933536695422213,30.596289562534324,0.5034955691734087,208.30705844979371,0.07557359726036803
11,11,-693.6124035668014,0.2322453548592125,-409.1413227637795,0.3115290959902769,-44.48956201189122,0.5190151974002907,187.61009515312432,0.07774450876809062
12,12,-699.6511813154021,0.2546275435132631,-446.4171447510154,0.33340066707580396,-46.21134051107648,0.5314096504059718,164.16106621656778,0.06719868606387644
13,13,-742.2481947837864,0.1818895819253991,-390.2390764375424,0.25980151494850123,-64.2835593314767,0.5634762105616098,192.9097653904496,0.08679270100031551
14,14,-688.8475189463506,0.18992326786884267,-412.368097718645,0.27520599414248575,-62.33102354152959,0.49066895401934724,214.27772483681352,0.09966324544809178
