gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-664.1909935032885,0.18698005113326932,-440.7417282502794,0.2582557046921085,-79.67990104891352,0.44364074679224047,140.45313996215953,0.08443025445518453
1,1,-676.319487092993,0.16192164283111687,-371.9300143472403,0.2120101500719053,-138.90780500833435,0.4488177760200681,164.2628916646904,0.07008893754653009
2,2,-693.0977739090216,0.20323128624034725,-411.51753085940646,0.2660376555950927,-133.5858873985966,0.4114260181630323,174.1393913134676,0.05314433109712513
3,3,-677.4755677729523,0.2364855096521029,-445.3676190195926,0.2875381272867528,-125.44671621666261,0.3865785381094916,157.22395306182082,0.04194259435273014
4,4,-684.0017853386113,0.15433200653682122,-351.2088440497143,0.21786566353794784,-61.26708746411547,0.4366509003745558,176.32337156629288,0.08185258070152254
5,5,-675.6535303453862,0.19727067385981908,-460.271275745992,0.27694326712069894,-135.85873379170872,0.45870057968797123,113.2263350667377,0.08359694607069237
6,6,-676.16819549647,0.1320679240535419,-393.532762708799,0.18451957969245852,-154.36488221128707,0.39202192572866607,161.15866207374765,0.08866556707492534
7,7,-605.2832636406002,0.19775333018449762,-403.82455746872046,0.2503206160008697,-152.9800639985766,0.33684110125014766,182.6849422041819,0.04313254705079254
8,8,-590.2601151565735,0.10985729939905138,-390.86181718601966,0.14455384516815606,-188.22679471466975,0.4071322812424423,168.53604783583575,0.07105760514674597
9,9,-574.3717828807895,0.16149862702459666,-483.97514139750257,0.23051047104211853,-134.76553265976654,0.377153267441172,134.4713863109058,0.08469875976069745
10,10,-530.5020719306277,0.16885105723515467,-353.7471374590052,0.20629088287115535,-138.1493062346826,0.2815717034412435,116.61068686813202,0.04285085016806096
11,11,-642.7909672215163,0.2255135125652458,-569.530292374178,0.2887664954264688,-406.48582000405946,0.5120852649692527,70.74800189904599,0.08272127004626338
12,12,-589.9078334848527,0.11380830312531873,-393.33510511970235,0.15108735074364063,-199.4374731630755,0.3387057524148714,120.58237614333957,0.060728097757115
13,13,-590.4687878953363,0.26836339661661995,-489.22064764914273,0.34405447715252635,-192.58052816564063,0.49294453290064505,68.85225888831746,0.055527962742227904
14,14,-649.1585486304012,0.22420707933902653,-472.0139501172701,0.26692235658665825,-128.2190838562356,0.3084529026303563,173.89634080212548,0.030104804231341944
15,15,-647.5961177136904,0.16438098874719706,-454.3573671278678,0.2486020982640039,-302.3390349138119,0.38344334806967784,107.97571914134117,0.07490246414974616
16,16,-578.5932937343115,0.22878366210449724,-422.046414196203,0.28115967226907473,-165.05329917932,0.3597482202195333,131.41042707822425,0.043116169747752404
17,17,-590.2601151565735,0.18242277167874518,-397.4036797452798,0.23757569657620276,-220.79221273855657,0.3862191781704201,159.59031214322832,0.06821976879305976
18,18,-620.1383198347531,0.13861759156971284,-559.9403408356885,0.20817317241656993,-507.79869997955683,0.5558025077436043,46.82980843995099,0.10421937196821089
19,19,-734.7935211980857,0.14085279160298597,-290.5996798399679,0.20726522199574185,-157.12830234707965,0.3450051878968269,188.51846471805382,0.0896370180437219
20,20,-590.2601151565735,0.1313715054015356,-472.8445780307491,0.19559393409441464,-303.4383858667956,0.53690299970199,111.35555341958766,0.08904429139788136
21,21,-639.4741697564467,0.1960678266207231,-371.2001982123626,0.23514207961919506,-213.00530851486073,0.37113420697790156,178.41708752537775,0.0715465412985416
22,22,-590.2601151565735,0.05245279692810748,-464.8918711893197,0.07004176013260076,-224.2354908065248,0.10660091967377676,143.49195030736135,0.021553370060397904
23,23,-585.716643052191,0.19390269951927486,-460.87562165038594,0.24707472252865925,-254.36093602139397,0.30248881005178946,121.42594635748215,0.04210682939567088
24,24,-601.7971407798833,0.11301611697162904,-498.41761554919805,0.15379822602917637,-291.69051679042985,0.2809031418687045,93.72978719162906,0.05611737125029674
