gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-661.1292648339114,0.20003098595631527,-363.5763059818847,0.289572366138162,-68.78442548444423,0.46519783365490386,178.56859298466657,0.09820541678196253
1,1,-682.7060681235957,0.19267687675517745,-405.6726566767887,0.2493921060500158,-87.0650290234102,0.4213131135182961,183.13071454407313,0.0706721037121003
2,2,-607.9916753768148,0.27048503815957914,-385.12460755205524,0.3653110258529111,-111.90778726166484,0.46026366988106143,142.94110115286662,0.06702327851827819
3,3,-673.0933462916521,0.21876794152017093,-402.11644372549597,0.31624410008081727,-116.26517233813225,0.45325870522468836,173.0546438719801,0.09219016788819592
4,4,-654.2365847353159,0.2001047000295406,-306.50415912829465,0.2809255340636432,-68.0410320774242,0.47650982065018227,175.52432607838406,0.09008240555657263
5,5,-625.4868017435638,0.19279825375999815,-320.60171011259956,0.2902585425320334,-116.26517233813225,0.4406082024677853,150.27715822119953,0.0906566021818584
6,6,-673.0933462916521,0.13964156972610056,-310.66395032141185,0.20923239920857575,-156.80036765074502,0.4774842573369448,152.5481289446873,0.0980437792299697
7,7,-624.050244769925,0.28583809494707413,-410.2809764473856,0.36534370890341067,-110.60029150697751,0.5259768202338019,155.20905374463203,0.08464097190603849
8,8,-705.2849553821961,0.26106227994098896,-444.57761905316613,0.33661810732231756,-116.26517233813225,0.47843088726148,184.73745753738245,0.07196235857619256
9,9,-616.079338411609,0.2174207274069692,-349.07299623284007,0.29588513475927586,-136.11052637601748,0.45125152922373624,174.93457753028554,0.09012876979296255
10,10,-595.1162873570073,0.19455336236897247,-375.2571582036016,0.23802326712236221,30.364918923525114,0.31138093023202656,194.61568496083484,0.036471291164373254
11,11,-506.25360141102846,0.18504161051853313,-394.9554757786298,0.22110352400743222,-92.68151342230492,0.375676488204801,109.11980252205385,0.04592044501045697
12,12,-592.3187108967426,0.18202934281885802,-285.41052354300507,0.2691858717470483,-116.26517233813225,0.5054949266054076,137.09076318889785,0.11087516185310356
13,13,-576.3237436212037,0.229334121004975,-408.13395165048206,0.27636255080074895,-109.07534488921436,0.31641253674184716,182.62085916293012,0.038245210062765184
14,14,-665.8022515883805,0.14667301436182242,-284.80820382206554,0.18357721391900356,-116.26517233813225,0.28537321815885663,216.6517790175898,0.05551097219370691
15,15,-479.1430856367708,0.19164104901322937,-298.0844337744574,0.23522954055360099,-116.26517233813225,0.29210894836192586,142.1079421290221,0.048355777992226436
16,16,-513.6455539832684,0.07708510346215912,-190.00095985298958,0.1033000183473286,-54.808210227230916,0.11788276109961794,124.90725520654082,0.017298495978790615
17,17,-526.8121606212763,0.19186893986616887,-311.74685552157297,0.24536154052029652,-150.6630122584858,0.32571552297896006,145.2874160051639,0.055248234190081444
18,18,-560.961057188765,0.27013733827920183,-443.28006191671733,0.3695758164420208,-199.80449215506118,0.47163846956917155,132.46596033778638,0.08853700341494973
19,19,-542.6762572236012,0.31885566692448675,-315.5991351263169,0.37125421669395053,-248.65293880216154,0.4848809840056565,93.04109457962925,0.05519125980556709
20,20,-611.4071385128804,0.08854094821730216,-328.07685025070094,0.11523946414406444,-133.10336612563773,0.2203768053725718,166.47881288008355,0.04233536028644922
21,21,-607.9916753768148,0.22299743855587098,-363.49223755620073,0.32464011781598423,-99.66352762398458,0.43019394911527914,206.89368919802607,0.08939024576900648
22,22,-628.2973178698197,0.30184267525492503,-352.84701188771066,0.354652490230068,-137.1280217678624,0.5017531798883877,174.8325996663261,0.06914577865278872
23,23,-526.8121606212763,0.11182637041328478,-326.7874223003694,0.16017213520378196,-116.26517233813225,0.3416281574675357,122.14098984441085,0.06966017230016837
24,24,-569.1080357402142,0.15820660513086104,-411.72057349428667,0.17301293971045087,-351.598892530235,0.1841198968391611,70.65657702856655,0.008555016172927362
