gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-720.3109167846136,0.061556315922545776,-408.06951121133625,0.4282584110642806,-50.525439353670265,0.8290842962908922,165.94669835138225,0.19358181910118025
1,1,-707.5251874322379,0.08361629145684546,-430.2514105716876,0.43348397344142503,-64.41134173287008,0.835550453328513,169.98132191190209,0.20933557086522434
2,2,-653.0650226796532,0.08442098015942551,-406.06754539658783,0.3808337133716531,-112.69237187520662,0.7873462382608004,156.00031488084824,0.179325808643145
3,3,-707.0629023815386,0.06664459384995972,-386.2879658433097,0.3783030790435828,-73.516197394674,0.7017784457530676,185.05541511533625,0.177276141093047
4,4,-671.2620828230973,0.06940780926829956,-411.2889905003898,0.4563196024724917,-68.21206262784774,0.9071245851037308,176.2501380504759,0.2310015623168754
5,5,-704.0100316224383,0.02352516028684143,-455.5556478353342,0.398787510355828,-89.03567205723455,0.8934481964969816,155.32982482866595,0.22385346155697292
6,6,-848.3282329795489,0.050118865717547804,-444.51446695539,0.40537013489827617,-21.58801233637905,0.910837868213073,180.99407811797977,0.23919216807204535
7,7,-747.2049786649528,0.09019444398406562,-414.67320839023546,0.35887412662371343,-15.390402167398387,0.75394428556122,175.59200456760084,0.2090657247579783
8,8,-677.3043149573354,0.059880329662411955,-441.0657338162211,0.3916298354281564,2.5147164792898877,0.8287704006206669,167.9911890561145,0.2382972448477102
9,9,-685.3056146600983,0.056099681769570364,-433.66894752018646,0.4228836716402086,-50.77659177956746,0.8424496455698758,179.63411544191604,0.24932153109418867
10,10,-749.6049805858369,-0.01433901819291912,-408.8549237483569,0.39012785629717767,-53.81129347836046,0.8188163211399407,165.37222480657496,0.22380343474248038
11,11,-733.4791827193015,0.053942856884177826,-392.8881663480263,0.38127182787133673,-61.539100323758696,0.8289242789916953,192.1543048254238,0.22111816624562677
12,12,-769.2737840332884,0.06752388735335552,-457.0463820033796,0.3860805374239969,-5.3744724017672025,0.8459307710103317,163.56854828170606,0.236735987446395
13,13,-706.5667497074373,0.03215214108009953,-407.2084279633288,0.3099932719915598,-109.10631945976975,0.8635034391581151,188.80858650579313,0.2074480034586347
14,14,-682.8963742231157,0.051082472900035134,-414.20168537710776,0.36630770293748594,27.09708508841346,0.8369676319183608,169.14893214666202,0.2173576676267653
15,15,-737.8488725009762,0.013531264001933897,-418.5772996834467,0.37610800028148605,13.544254705786296,0.9171630006460769,181.75024303164273,0.26779348439495704
16,16,-713.3252630307821,0.044407106202629484,-429.3924363096097,0.43092822765931693,-58.455682425879026,0.9094068814698343,170.51622278379787,0.2594300077052888
17,17,-636.4261798111021,0.055992669273270394,-402.392766609963,0.38802259319862165,-69.38332183400422,0.8787830788258657,166.8705005883992,0.25495860039051393
18,18,-639.1934598468744,0.00997357342686906,-408.76298274794937,0.3328466879730646,-33.38068414137957,0.9028005509642146,167.67209980790344,0.26698663060256356
19,19,-906.8223280948787,0.03665960660234231,-417.00709829056024,0.4144879894744752,-33.629908749168884,0.8949688968117806,170.93172307176013,0.25230176830198975
20,20,-768.3371089920007,0.08744648792555569,-444.1517405258622,0.44795709376881887,-41.23752633318377,0.9383000577397048,169.4659202278309,0.30154774332273104
21,21,-611.6052265128134,0.06429242565053184,-391.51617661711083,0.37631440913451836,-61.95790250822116,0.8968639267001444,162.81664747333636,0.2541556262436815
22,22,-718.1513694633026,0.006885394528244441,-410.39760631836737,0.36277996563981824,53.881456242854824,0.9101044421141735,188.35625849225013,0.2757991549187752
23,23,-657.8720968829554,0.04528118603075705,-424.33719519043825,0.37520590780447716,-80.05307413375665,0.8745806359162458,158.01259857938942,0.28350595431717657
24,24,-825.9821445405067,0.023438143781078453,-420.92483619540167,0.37217866395496546,-95.39077898212908,0.9306510018610433,175.8320926181737,0.2816087170040837
