gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,9.0,0.024109579934213792,59.56666666666668,0.14915924485403534,417.3333333333333,1.0,94.47081265896068,0.21417020864180827
1,1,9.0,0.0,63.43333333333332,0.21108494762234695,336.6666666666667,0.8397152969418779,87.02637531231551,0.27264929677837113
2,2,9.0,0.0,30.016666666666662,0.15235271277173393,189.33333333333334,0.9636615438838609,42.29085467200786,0.24431812653472137
3,3,9.0,0.012877735569781334,81.85,0.21843595835693982,500.0,0.7426270030848541,118.77155827703683,0.22117114821903977
4,4,9.0,0.04950575699277978,62.23333333333333,0.23190701428379215,232.66666666666666,0.9989567809239941,74.98978448947416,0.26161133695518324
5,5,9.0,0.0,31.5,0.18635565204157767,204.33333333333334,0.9196184350058587,49.640876973182756,0.2537052326919477
6,6,9.0,0.0,35.266666666666666,0.19418482480674668,163.33333333333334,0.7234709835927968,41.899827631573324,0.23001581881011726
7,7,9.0,0.1013423557956357,76.2,0.19724765986912174,500.0,0.8674134419551934,129.08340972668282,0.20049836892784897
8,8,9.333333333333334,0.021258417839559778,85.8,0.2176371615685027,425.3333333333333,0.8311390343252023,101.44163072646478,0.18360440951080584
9,9,9.333333333333334,0.017447324758874574,98.35000000000001,0.21530397070689622,500.0,0.8263403843604127,137.2875520374824,0.23704950492156687
10,10,9.0,0.0486471227853824,64.23333333333333,0.21873823142810883,370.3333333333333,1.0,89.20632140032329,0.24387753512224586
11,11,9.0,0.053893805309734505,74.85,0.2823347552471032,385.6666666666667,0.9597906966572283,95.9366385230956,0.2127832566391678
12,12,9.0,0.031193567914515354,115.78333333333335,0.3231388943257399,394.3333333333333,0.9329571782356598,136.21972752383064,0.2746821844832225
13,13,9.0,0.026336615082974663,77.56666666666666,0.14732378564712265,500.0,0.9325186693822132,137.84190219233048,0.2524129999825036
14,14,9.0,0.0,82.04999999999998,0.20499313896059715,500.0,0.774035983068058,145.63047891457643,0.252963128111888
