gen,gen,min,avg,max,std
0,0,9.0,158.14666666666665,500.0,148.05095459184164
1,1,9.666666666666666,244.16,500.0,180.89120413478742
2,2,12.0,287.2266666666667,500.0,193.2342670324173
3,3,45.0,313.4133333333333,500.0,194.87895456752977
4,4,67.33333333333333,374.56,500.0,175.059017857788
5,5,67.33333333333333,393.30666666666673,500.0,158.98295981365774
6,6,173.0,455.17333333333335,500.0,100.77698679096665
7,7,173.0,456.7866666666667,500.0,96.47792516656048
8,8,213.33333333333334,460.2,500.0,92.30543501513512
9,9,213.33333333333334,479.48,500.0,58.67462673270467
10,10,213.33333333333334,468.0666666666667,500.0,77.19769714469754
11,11,260.3333333333333,464.04,500.0,76.96552301734415
12,12,260.3333333333333,459.8533333333333,500.0,87.51950030326576
13,13,260.3333333333333,490.4133333333333,500.0,46.964883334962806
14,14,260.3333333333333,480.82666666666665,500.0,65.01993677156091
