gen,gen,min,avg,max,std
0,0,9.666666666666666,129.4,500.0,155.77907433285125
1,1,9.666666666666666,212.6,500.0,190.9898892030093
2,2,28.333333333333332,293.2,500.0,209.34129496536937
3,3,49.0,332.45333333333326,500.0,198.20359633467805
4,4,64.33333333333333,382.46666666666664,500.0,174.53396995045597
5,5,64.33333333333333,406.38666666666666,500.0,165.8831363741756
6,6,94.66666666666667,474.88,500.0,79.38009154273718
7,7,94.66666666666667,459.52,500.0,108.84476530055697
8,8,94.66666666666667,466.70666666666665,500.0,86.09087291925898
9,9,354.0,482.92,500.0,40.700781319281816
