gen,gen,min,avg,max,std
0,0,9.0,16.15,98.33333333333333,20.184007695863244
1,1,9.0,51.150000000000006,141.0,44.27395459585189
2,2,9.333333333333334,89.18333333333334,221.0,47.9546631957959
3,3,9.333333333333334,114.83333333333333,229.66666666666666,49.801550622891696
4,4,9.333333333333334,131.23333333333335,237.33333333333334,60.10889192863972
5,5,39.0,172.73333333333338,237.33333333333334,55.79970131341804
6,6,46.333333333333336,211.2166666666667,500.0,83.54654557656933
7,7,39.0,273.44999999999993,500.0,169.64807609348895
8,8,9.333333333333334,228.66666666666669,500.0,179.00453128963585
9,9,9.333333333333334,246.21666666666664,500.0,200.81869310400364
10,10,9.333333333333334,320.50000000000006,500.0,180.72177818711035
