gen,gen,min,avg,max,std
0,0,8.666666666666666,91.55000000000001,500.0,135.9449755926599
1,1,10.0,146.75,500.0,147.1225065870088
2,2,28.333333333333332,176.96666666666664,455.0,148.06706063282422
3,3,69.66666666666667,212.86666666666665,455.0,148.56313285753114
4,4,9.0,217.08333333333331,455.0,149.52004232060514
5,5,28.333333333333332,286.1,470.0,174.60399957236564
6,6,28.333333333333332,310.65,470.0,180.5721916267532
7,7,26.333333333333332,339.73333333333335,470.0,181.86199285294452
8,8,10.0,323.4,470.0,186.17538326355967
9,9,43.333333333333336,425.3,500.0,117.82255490543587
10,10,39.0,397.5166666666667,500.0,156.07126132350925
11,11,56.666666666666664,459.3499999999999,500.0,97.17495533543838
12,12,470.0,498.5,500.0,6.5383484153110105
13,13,59.333333333333336,456.15,500.0,131.5517842693304
14,14,95.33333333333333,479.7666666666667,500.0,88.19505529097295
15,15,44.0,407.5833333333333,500.0,166.2938121050944
16,16,10.0,435.5666666666667,500.0,154.55128958087383
17,17,9.666666666666666,434.2166666666667,500.0,157.3177349259206
18,18,39.333333333333336,351.0333333333333,500.0,203.53009332501395
19,19,65.66666666666667,329.66666666666663,500.0,191.1674367900791
20,20,28.333333333333332,338.8666666666667,500.0,183.44285819355906
21,21,21.333333333333332,374.06666666666666,500.0,179.35698728761278
22,22,67.33333333333333,463.9,500.0,110.64583639302072
23,23,9.0,337.94999999999993,500.0,221.6676008752244
24,24,9.0,389.68333333333334,500.0,192.38261861312847
25,25,9.666666666666666,374.1,500.0,193.40510449428277
