gen,gen,min,avg,max,std
0,0,9.333333333333334,10.733333333333333,16.333333333333332,2.799999999999999
1,1,51.333333333333336,286.33333333333337,496.6666666666667,144.58384726133445
2,2,237.66666666666666,375.40000000000003,496.6666666666667,103.80096338666613
3,3,237.66666666666666,340.66666666666663,496.6666666666667,84.71284829744936
4,4,323.0,392.4666666666667,496.6666666666667,85.07894373266906
5,5,323.0,392.4666666666667,496.6666666666667,85.07894373266906
6,6,323.0,357.73333333333335,496.6666666666667,69.46666666666668
7,7,323.0,357.73333333333335,496.6666666666667,69.46666666666667
8,8,323.0,357.73333333333335,496.6666666666667,69.46666666666668
9,9,323.0,392.4666666666667,496.6666666666667,85.07894373266906
10,10,323.0,392.4666666666667,496.6666666666667,85.07894373266906
11,11,323.0,357.73333333333335,496.6666666666667,69.46666666666668
12,12,323.0,357.73333333333335,496.6666666666667,69.46666666666668
13,13,323.0,392.4666666666667,496.6666666666667,85.07894373266906
14,14,323.0,427.2,496.6666666666667,85.07894373266906
15,15,323.0,427.2,496.6666666666667,85.07894373266906
16,16,323.0,392.4666666666667,496.6666666666667,85.07894373266906
17,17,323.0,461.9333333333334,496.6666666666667,69.46666666666668
18,18,323.0,461.9333333333334,496.6666666666667,69.46666666666667
19,19,496.6666666666667,496.6666666666667,496.6666666666667,0.0
20,20,496.6666666666667,496.6666666666667,496.6666666666667,0.0
21,21,323.0,461.9333333333334,496.6666666666667,69.46666666666667
22,22,496.6666666666667,496.6666666666667,496.6666666666667,0.0
23,23,496.6666666666667,496.6666666666667,496.6666666666667,0.0
24,24,323.0,461.9333333333334,496.6666666666667,69.46666666666668
