gen,gen,min,avg,max,std
0,0,8.666666666666666,39.55,111.33333333333333,25.057106998037725
1,1,9.333333333333334,52.133333333333326,164.66666666666666,40.34688477579293
2,2,22.0,49.83333333333333,164.66666666666666,29.61896914704044
3,3,34.0,68.83333333333333,251.66666666666666,52.40329718210062
4,4,34.0,79.73333333333332,251.66666666666666,46.16547531555493
5,5,34.0,99.0,361.0,89.7169004269665
6,6,34.0,172.76666666666665,500.0,134.2415774308061
7,7,34.0,189.73333333333332,500.0,158.28408356847225
8,8,34.0,164.04999999999998,500.0,146.21514874397326
9,9,34.0,125.1,500.0,129.57109159753873
10,10,34.0,118.95,500.0,120.44243784203861
11,11,34.0,144.08333333333331,500.0,119.05395018879278
12,12,42.0,152.5666666666667,500.0,136.0153218493335
13,13,42.0,237.51666666666665,500.0,185.0086026528376
14,14,42.0,248.45000000000005,500.0,180.07761521077512
15,15,42.0,210.1833333333334,500.0,162.74702506241601
16,16,42.0,268.40000000000003,500.0,181.09857966189452
17,17,42.0,233.58333333333334,500.0,173.59367868035338
18,18,67.66666666666667,230.80000000000004,500.0,155.25840109672362
19,19,67.66666666666667,319.65000000000003,500.0,159.21967616402748
