gen,gen,min,avg,max,std
0,0,8.666666666666666,39.96666666666666,110.0,24.69478127504316
1,1,8.666666666666666,77.6,265.3333333333333,79.122942311317
2,2,9.666666666666666,92.61666666666666,274.0,78.498002451584
3,3,9.666666666666666,107.21666666666667,274.0,72.30884954293093
4,4,10.333333333333334,104.88333333333333,265.3333333333333,76.07060134433596
5,5,32.333333333333336,126.96666666666667,265.3333333333333,75.0789140393848
6,6,35.333333333333336,157.48333333333338,500.0,134.0825813113363
7,7,35.333333333333336,190.05000000000004,500.0,170.79702947585994
8,8,37.333333333333336,170.78333333333336,500.0,171.0897839342451
9,9,52.333333333333336,179.61666666666667,500.0,163.3433763919159
10,10,53.666666666666664,189.41666666666669,500.0,153.13388749718334
11,11,62.666666666666664,123.18333333333332,500.0,97.5003974350874
12,12,62.666666666666664,134.61666666666665,500.0,107.78395443354883
13,13,62.666666666666664,110.93333333333335,265.3333333333333,68.8131608859171
14,14,32.333333333333336,106.48333333333332,352.6666666666667,77.97887712565358
