gen,gen,min,avg,max,std
0,0,8.0,18.96666666666667,41.333333333333336,12.119268404762172
1,1,9.666666666666666,40.63333333333333,92.33333333333333,28.19434537475752
2,2,22.0,67.7,92.33333333333333,22.90582167630462
3,3,13.666666666666666,123.26666666666665,242.0,81.05125950080398
4,4,92.33333333333333,197.1,242.0,68.58588290117241
5,5,92.33333333333333,227.0333333333333,242.0,44.900000000000006
6,6,102.66666666666667,228.0666666666667,242.0,41.800000000000004
7,7,242.0,256.5,387.0,43.5
8,8,242.0,256.5,387.0,43.5
9,9,242.0,271.0,387.0,58.0
10,10,242.0,311.6,445.0,87.19311899456287
11,11,242.0,378.3,445.0,90.8306666275218
12,12,387.0,439.2,445.0,17.400000000000002
13,13,445.0,445.0,445.0,0.0
14,14,88.33333333333333,339.9666666666667,445.0,133.61931413950273
15,15,85.0,352.7,445.0,143.09161401004602
16,16,133.0,314.4,445.0,149.0558284670546
17,17,387.0,433.4,445.0,23.2
18,18,445.0,445.0,445.0,0.0
19,19,445.0,445.0,445.0,0.0
20,20,445.0,445.0,445.0,0.0
21,21,445.0,445.0,445.0,0.0
22,22,445.0,445.0,445.0,0.0
23,23,133.0,413.8,445.0,93.60000000000001
24,24,445.0,445.0,445.0,0.0
25,25,154.66666666666666,415.9666666666666,445.0,87.10000000000001
