gen,gen,min,avg,max,std
0,0,9.666666666666666,52.76666666666667,216.0,58.49616321701032
1,1,10.333333333333334,59.76666666666667,216.0,56.07951695781823
2,2,10.333333333333334,77.03333333333333,216.0,67.26026563531647
3,3,10.333333333333334,78.80000000000001,216.0,66.54859544389765
4,4,10.333333333333334,81.70000000000002,216.0,64.61397337693725
5,5,38.666666666666664,87.3,216.0,60.48056620840192
6,6,38.666666666666664,130.26666666666665,492.3333333333333,134.71886777038074
7,7,38.666666666666664,131.6,492.3333333333333,133.9826522767448
8,8,38.666666666666664,136.63333333333333,492.3333333333333,131.4817646840977
9,9,44.0,138.43333333333334,492.3333333333333,130.4108933759412
10,10,58.666666666666664,140.33333333333334,492.3333333333333,129.15356922843614
11,11,58.666666666666664,140.9,492.3333333333333,128.92030699449776
12,12,58.666666666666664,142.53333333333333,492.3333333333333,128.1593799402395
13,13,58.666666666666664,151.7,492.3333333333333,124.1324964167992
14,14,58.666666666666664,151.7,492.3333333333333,124.1324964167992
15,15,58.666666666666664,151.7,492.3333333333333,124.1324964167992
16,16,58.666666666666664,152.33333333333334,492.3333333333333,123.83358008050787
17,17,58.666666666666664,152.33333333333334,492.3333333333333,123.83358008050787
18,18,58.666666666666664,160.66666666666669,492.3333333333333,120.13316685153094
19,19,58.666666666666664,160.66666666666669,492.3333333333333,120.13316685153094
20,20,58.666666666666664,160.66666666666669,492.3333333333333,120.13316685153094
21,21,58.666666666666664,160.66666666666669,492.3333333333333,120.13316685153094
22,22,58.666666666666664,160.66666666666669,492.3333333333333,120.13316685153094
23,23,58.666666666666664,160.66666666666669,492.3333333333333,120.13316685153094
24,24,58.666666666666664,164.13333333333335,492.3333333333333,118.6309122165607
