gen,gen,min,avg,max,std
0,0,8.0,18.844444444444445,57.333333333333336,14.938821742752285
1,1,8.666666666666666,32.00000000000001,79.66666666666667,21.06533047801881
2,2,10.333333333333334,89.5111111111111,309.6666666666667,93.93605915662283
3,3,10.333333333333334,122.84444444444446,500.0,163.56586018263087
4,4,18.666666666666668,215.28888888888892,500.0,204.3722046284459
5,5,34.666666666666664,280.35555555555555,500.0,209.48856476054274
6,6,10.333333333333334,308.2888888888889,500.0,209.4567175891236
7,7,12.333333333333334,338.0222222222222,500.0,202.3637160665096
8,8,49.0,288.26666666666665,500.0,202.5173133888118
9,9,9.333333333333334,357.1333333333333,500.0,201.08073926585735
10,10,38.0,390.9555555555555,500.0,170.40335010907228
11,11,54.666666666666664,316.6888888888889,500.0,193.64402111498367
12,12,9.666666666666666,289.55555555555554,500.0,215.9177369643413
13,13,9.666666666666666,280.9555555555556,500.0,207.10483538417486
14,14,10.333333333333334,204.2666666666667,500.0,208.1962820317689
15,15,10.333333333333334,120.82222222222221,500.0,156.4343367946918
