gen,gen,min,avg,max,std
0,0,9.0,28.566666666666663,115.33333333333333,32.63946146069883
1,1,10.0,104.5,359.0,96.66439652506789
2,2,33.0,200.73333333333332,500.0,177.70554921617452
3,3,9.0,184.33333333333331,500.0,183.58134739431213
4,4,9.666666666666666,93.83333333333333,147.66666666666666,46.04641378242416
5,5,10.0,134.40000000000003,500.0,131.1353668712009
6,6,55.666666666666664,322.1333333333333,500.0,185.7310600483039
7,7,9.0,248.53333333333336,500.0,219.52591342861248
8,8,9.666666666666666,197.33333333333331,500.0,203.6179974582033
9,9,31.0,293.66666666666663,500.0,210.05570689700386
10,10,11.333333333333334,300.19999999999993,500.0,212.1528903618541
