gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,8.0,0.290944920507501,41.33333333333334,0.4378983764496697,500.0,0.8964692675173287,89.46052305450257,0.2463714167140416
1,1,8.0,0.23371639828773497,38.833333333333336,0.37215076701146516,340.0,0.9653461427774572,64.19159688862017,0.2621144871192724
2,2,8.0,0.4483199884173135,48.288888888888884,0.5655999437906448,265.6666666666667,0.760244511690608,56.4189181125237,0.13932712858168672
3,3,8.0,0.3162984912582284,30.11111111111111,0.4715516913721554,136.33333333333334,0.8965409191573019,31.236888607486872,0.23634931637002465
4,4,8.0,0.46357263262374343,40.85555555555555,0.5787415614408064,289.6666666666667,0.7491389068053304,64.41426592239476,0.12734478164645716
5,5,8.0,0.30435504259902335,41.62222222222222,0.45693829240241524,375.6666666666667,0.9140027046143353,67.0502704351899,0.24172379306541678
6,6,8.0,0.33837731593875586,66.0,0.4837749460685497,500.0,0.8692671377197249,110.62294986591633,0.20949348922882063
7,7,8.0,0.15883575270801387,34.7,0.2769571326099188,174.0,1.056822905280962,43.16534532512206,0.25925629102761766
8,8,8.0,0.423066794708396,52.83333333333334,0.5595337830154736,407.6666666666667,0.7936049752452985,81.68570072970975,0.15635813813281332
9,9,8.0,0.4011087421057797,37.733333333333334,0.5351577148633461,169.0,0.7965818335072962,39.09119442382749,0.16782395688221394
