gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,9.0,0.5794551321583397,40.63333333333333,0.5842592446318271,87.33333333333333,0.5952449184782409,38.132357213614085,0.007192409280559642
1,1,10.0,0.05758802013265109,54.233333333333334,0.07631993020769454,128.33333333333334,0.1387437535030578,43.765803494915474,0.0313581815857742
2,2,9.0,0.5310058580382617,13.6,0.5519035759216123,50.666666666666664,0.6274110471789608,12.361049937426655,0.03775991628592399
3,3,12.0,0.22028724263700267,28.133333333333336,0.36772212693265566,89.66666666666667,0.9448988906727834,30.788598178185666,0.28862939497193785
4,4,10.0,0.21332172708697772,35.266666666666666,0.3585280156368472,69.33333333333333,0.9140871454190852,17.11516546484108,0.27800833700275557
5,5,10.0,0.03321660225871234,26.5,0.03618702664567899,43.0,0.03915745103264563,16.5,0.0029704243869666455
6,6,10.0,0.0246448318947412,28.53333333333334,0.027602211722110144,56.333333333333336,0.02957379827368944,22.698604949790784,0.0024146905175513717
7,7,10.0,0.007464609513066548,24.2,0.010823683793946496,33.666666666666664,0.01306306664786646,11.59425144917371,0.0027426726654207366
8,8,10.0,0.10422169864658541,13.666666666666666,0.10645894117940143,17.333333333333332,0.10869618371221744,3.666666666666666,0.002237242532816014
9,9,10.0,0.017062088497673263,21.733333333333334,0.018427055577487125,39.333333333333336,0.020474506197207917,14.37033982432798,0.0016717364306203803
