gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,9.0,0.4069902134951665,16.15,0.5270057281410763,98.33333333333333,0.7541138373718808,20.184007695863244,0.16192166468212643
1,1,9.0,0.2455408756732055,47.78333333333333,0.6333779879336391,160.0,0.9524489747697756,48.85344011542187,0.24729134430510766
2,2,9.0,0.41880121057934894,56.8,0.7043012667309292,160.0,0.8997330630224164,39.13656999675765,0.19603513074796294
3,3,9.333333333333334,0.40880233854741294,52.18333333333334,0.7525835739118166,145.33333333333334,0.8997330630224164,33.94480405337792,0.13293534284658662
4,4,9.333333333333334,0.6861058348086088,71.55,0.7732936574141531,428.6666666666667,0.8997330630224164,92.91204173840978,0.07604433635629634
5,5,9.333333333333334,0.45371258414273863,45.25000000000001,0.7548996606881557,145.33333333333334,0.8997330630224164,39.40965406259403,0.12144087018689882
6,6,9.333333333333334,0.5591938413069023,49.43333333333334,0.8099644856271955,55.0,0.8997330630224164,13.399875621313306,0.09771603011464426
7,7,9.333333333333334,0.5591938413069023,42.41666666666667,0.8204950999097657,55.0,0.8997330630224164,19.036478140664567,0.10964487059721117
8,8,9.666666666666666,0.664331749330735,65.03333333333333,0.8054476547835886,199.33333333333334,0.8997330630224164,44.52376394191708,0.08083848838946435
9,9,9.333333333333334,0.46542089651178475,42.35,0.8319372504405145,55.0,0.8997330630224164,18.917503652555336,0.1093187468518829
10,10,9.333333333333334,0.4107930891471857,60.06666666666668,0.8151665136957369,173.33333333333334,0.8997330630224164,42.89775958925801,0.11800828547605172
